0300	3030
0301	3031
0302	3032
0303	3033
0304	3034
0305	3035
0306	3036
0307	3037
0308	3038
0309	3039
030A	3041
030B	3042
030C	3043
030D	3044
030E	3045
030F	3046
0310	3130
0311	3131
0312	3132
0313	3133
0314	3134
0315	3135
0316	3136
0317	3137
0318	3138
0319	3139
031A	3141
031B	3142
031C	3143
031D	3144
031E	3145
031F	3146
0320	3230
0321	3231
0322	3232
0323	3233
0324	3234
0325	3235
0326	3236
0327	3237
0328	3238
0329	3239
032A	3241
032B	3242
032C	3243
032D	3244
032E	3245
032F	3246
0330	3330
0331	3331
0332	3332
0333	3333
0334	3334
0335	3335
0336	3336
0337	3337
0338	3338
0339	3339
033A	3341
033B	3342
033C	3343
033D	3344
033E	3345
033F	3346
0340	3430
0341	3431
0342	3432
0343	3433
0344	3434
0345	3435
0346	3436
0347	3437
0348	3438
0349	3439
034A	3441
034B	3442
034C	3443
034D	3444
034E	3445
034F	3446
0350	3530
0351	3531
0352	3532
0353	3533
0354	3534
0355	3535
0356	3536
0357	3537
0358	3538
0359	3539
035A	3541
035B	3542
035C	3543
035D	3544
035E	3545
035F	3546
0360	3630
0361	3631
0362	3632
0363	3633
0364	3634
0365	3635
0366	3636
0367	3637
0368	3638
0369	3639
036A	3641
036B	3642
036C	3643
036D	3644
036E	3645
036F	3646
0370	3730
0371	3731
0372	3732
0373	3733
0374	3734
0375	3735
0376	3736
0377	3737
0378	3738
0379	3739
037A	3741
037B	3742
037C	3743
037D	3744
037E	3745
037F	3746
0380	3830
0381	3831
0382	3832
0383	3833
0384	3834
0385	3835
0386	3836
0387	3837
0388	3838
0389	3839
038A	3841
038B	3842
038C	3843
038D	3844
038E	3845
038F	3846
0390	3930
0391	3931
0392	3932
0393	3933
0394	3934
0395	3935
0396	3936
0397	3937
0398	3938
0399	3939
039A	3941
039B	3942
039C	3943
039D	3944
039E	3945
039F	3946
03A0	4130
03A1	4131
03A2	4132
03A3	4133
03A4	4134
03A5	4135
03A6	4136
03A7	4137
03A8	4138
03A9	4139
03AA	4141
03AB	4142
03AC	4143
03AD	4144
03AE	4145
03AF	4146
03B0	4230
03B1	4231
03B2	4232
03B3	4233
03B4	4234
03B5	4235
03B6	4236
03B7	4237
03B8	4238
03B9	4239
03BA	4241
03BB	4242
03BC	4243
03BD	4244
03BE	4245
03BF	4246
03C0	4330
03C1	4331
03C2	4332
03C3	4333
03C4	4334
03C5	4335
03C6	4336
03C7	4337
03C8	4338
03C9	4339
03CA	4341
03CB	4342
03CC	4343
03CD	4344
03CE	4345
03CF	4346
03D0	4430
03D1	4431
03D2	4432
03D3	4433
03D4	4434
03D5	4435
03D6	4436
03D7	4437
03D8	4438
03D9	4439
03DA	4441
03DB	4442
03DC	4443
03DD	4444
03DE	4445
03DF	4446
03E0	4530
03E1	4531
03E2	4532
03E3	4533
03E4	4534
03E5	4535
03E6	4536
03E7	4537
03E8	4538
03E9	4539
03EA	4541
03EB	4542
03EC	4543
03ED	4544
03EE	4545
03EF	4546
03F0	4630
03F1	4631
03F2	4632
03F3	4633
03F4	4634
03F5	4635
03F6	4636
03F7	4637
03F8	4638
03F9	4639
03FA	4641
03FB	4642
03FC	4643
03FD	4644
03FE	4645
03FF	4646
