# transposed and modified from from/IBM-935
0101	?01
010101	?4641
010113	?4645
01011B	?4647
01012B	?4649
01014D	?464D
01016B	?4651
0101CE	?4643
0101D0	?464B
0101D2	?464F
0101D4	?4653
0101D6	?4655
0101D8	?4656
0101DA	?4657
0101DC	?4658
0102	?02
0102C7	?4546
0102C9	?4545
0103	?03
010391	?4161
010392	?4162
010393	?4163
010394	?4164
010395	?4165
010396	?4166
010397	?4167
010398	?4168
010399	?4169
01039A	?416A
01039B	?416B
01039C	?416C
01039D	?416D
01039E	?416E
01039F	?416F
0103A0	?4170
0103A1	?4171
0103A3	?4172
0103A4	?4173
0103A5	?4174
0103A6	?4175
0103A7	?4176
0103A8	?4177
0103A9	?4178
0103B1	?4141
0103B2	?4142
0103B3	?4143
0103B4	?4144
0103B5	?4145
0103B6	?4146
0103B7	?4147
0103B8	?4148
0103B9	?4149
0103BA	?414A
0103BB	?414B
0103BC	?414C
0103BD	?414D
0103BE	?414E
0103BF	?414F
0103C0	?4150
0103C1	?4151
0103C3	?4152
0103C4	?4153
0103C5	?4154
0103C6	?4155
0103C7	?4156
0103C8	?4157
0103C9	?4158
010401	?41C6
010410	?41C0
010411	?41C1
010412	?41C2
010413	?41C3
010414	?41C4
010415	?41C5
010416	?41C7
010417	?41C8
010418	?41C9
010419	?41CA
01041A	?41CB
01041B	?41CC
01041C	?41CD
01041D	?41CE
01041E	?41CF
01041F	?41D0
010420	?41D1
010421	?41D2
010422	?41D3
010423	?41D4
010424	?41D5
010425	?41D6
010426	?41D7
010427	?41D8
010428	?41D9
010429	?41DA
01042A	?41DB
01042B	?41DC
01042C	?41DD
01042D	?41DE
01042E	?41DF
01042F	?41E0
010430	?4180
010431	?4181
010432	?4182
010433	?4183
010434	?4184
010435	?4185
010436	?4187
0104	?37
010437	?4188
010438	?4189
010439	?418A
01043A	?418B
01043B	?418C
01043C	?418D
01043D	?418E
01043E	?418F
01043F	?4190
010440	?4191
010441	?4192
010442	?4193
010443	?4194
010444	?4195
010445	?4196
010446	?4197
010447	?4198
010448	?4199
010449	?419A
01044A	?419B
01044B	?419C
01044C	?419D
01044D	?419E
01044E	?419F
01044F	?41A0
010451	?4186
0105	?2D
0106	?2E
0107	?2F
0108	?16
0109	?05
010A	?25
010B	?0B
010C	?0C
010D	?0D
010E	?0E
010F	?0F
0110	?10
0111	?11
0112	?12
0113	?13
0114	?3C
0115	?3D
0116	?32
0117	?26
0118	?18
0119	?19
011A	?3F
011B	?27
011C	?1C
011D	?1D
011E	?1E
011F	?1F
012010	?445A
012014	?444A
012015	?444A
012016	?447C
012018	?4461
012019	?4471
01201C	?4462
01201D	?4472
012025	?447E
012026	?447F
012030	?458B
012032	?44EE
012033	?44EF
01203B	?446B
01203E	?A1
0120	?40
012103	?444E
012116	?446E
012121	?446F
0121	?5A
012160	?41F1
012161	?41F2
012162	?41F3
012163	?41F4
012164	?41F5
012165	?41F6
012166	?41F7
012167	?41F8
012168	?41F9
012169	?41FA
01216A	?41FB
01216B	?41FC
012170	?41B1
012171	?41B2
012172	?41B3
012173	?41B4
012174	?41B5
012175	?41B6
012176	?41B7
012177	?41B8
012178	?41B9
012179	?41BA
012190	?44F1
012191	?44F2
012192	?44F0
012193	?44F3
012208	?4569
01220F	?4566
012211	?4565
01221A	?456B
01221D	?4577
01221E	?444D
012220	?456E
012225	?456D
012227	?4563
012228	?4564
012229	?4568
01222A	?4567
01222B	?4571
01222E	?4572
012234	?4468
012235	?4478
012236	?4562
012237	?456A
01223D	?4576
012248	?4575
01224C	?4574
012260	?444C
012261	?4573
012264	?4467
012265	?4477
01226E	?4579
01226F	?457A
0122	?7F
012299	?4570
0122A5	?456C
012312	?456F
0123	?7B
012460	?45E1
012461	?45E2
012462	?45E3
012463	?45E4
012464	?45E5
012465	?45E6
012466	?45E7
012467	?45E8
012468	?45E9
012469	?45EA
012474	?45C5
012475	?45C6
012476	?45C7
012477	?45C8
