Source: ftp://ftp.unicode.org/Public/6.3.0/ucd/UnicodeData-6.3.0d3.txt
Source: http://www.unicode.org/Public/6.2.0/ucd/SpecialCasing.txt
0104D1	0104D0
0104D3	0104D2
0104D5	0104D4
0104D7	0104D6
0104D9	0104D8
0104DB	0104DA
0104DD	0104DC
0104DF	0104DE
0104E1	0104E0
0104E3	0104E2
0104E5	0104E4
0104E7	0104E6
0104E9	0104E8
0104EB	0104EA
0104ED	0104EC
0104EF	0104EE
0104F1	0104F0
0104F3	0104F2
0104F5	0104F4
0104F7	0104F6
0104F9	0104F8
0104FB	0104FA
0104FD	0104FC
0104FF	0104FE
010501	010500
010503	010502
010505	010504
010507	010506
010509	010508
01050B	01050A
01050D	01050C
01050F	01050E
010511	010510
010513	010512
010515	010514
010517	010516
010519	010518
01051B	01051A
01051D	01051C
01051F	01051E
010521	010520
010523	010522
010525	010524
010527	010526
010561	010531
010562	010532
010563	010533
010564	010534
010565	010535
010566	010536
010567	010537
010568	010538
010569	010539
01056A	01053A
01056B	01053B
01056C	01053C
01056D	01053D
01056E	01053E
01056F	01053F
010570	010540
010571	010541
010572	010542
010573	010543
010574	010544
010575	010545
010576	010546
010577	010547
010578	010548
010579	010549
01057A	01054A
01057B	01054B
01057C	01054C
01057D	01054D
01057E	01054E
01057F	01054F
010580	010550
010581	010551
010582	010552
010583	010553
010584	010554
010585	010555
010586	010556
011D79	01A77D
011D7D	012C63
011E01	011E00
011E03	011E02
011E05	011E04
011E07	011E06
011E09	011E08
011E0B	011E0A
011E0D	011E0C
011E0F	011E0E
011E11	011E10
011E13	011E12
011E15	011E14
011E17	011E16
011E19	011E18
011E1B	011E1A
011E1D	011E1C
011E1F	011E1E
011E21	011E20
011E23	011E22
011E25	011E24
011E27	011E26
011E29	011E28
011E2B	011E2A
011E2D	011E2C
011E2F	011E2E
011E31	011E30
011E33	011E32
011E35	011E34
011E37	011E36
011E39	011E38
011E3B	011E3A
011E3D	011E3C
011E3F	011E3E
011E41	011E40
011E43	011E42
011E45	011E44
011E47	011E46
011E49	011E48
011E4B	011E4A
011E4D	011E4C
011E4F	011E4E
011E51	011E50
011E53	011E52
011E55	011E54
011E57	011E56
011E59	011E58
011E5B	011E5A
011E5D	011E5C
011E5F	011E5E
011E61	011E60
011E63	011E62
011E65	011E64
011E67	011E66
011E69	011E68
011E6B	011E6A
011E6D	011E6C
011E6F	011E6E
011E71	011E70
011E73	011E72
011E75	011E74
011E77	011E76
011E79	011E78
011E7B	011E7A
011E7D	011E7C
011E7F	011E7E
011E81	011E80
011E83	011E82
011E85	011E84
011E87	011E86
011E89	011E88
011E8B	011E8A
011E8D	011E8C
011E8F	011E8E
011E91	011E90
011E93	011E92
011E95	011E94
011E9B	011E60
011EA1	011EA0
011EA3	011EA2
011EA5	011EA4
011EA7	011EA6
011EA9	011EA8
011EAB	011EAA
011EAD	011EAC
011EAF	011EAE
011EB1	011EB0
011EB3	011EB2
011EB5	011EB4
011EB7	011EB6
011EB9	011EB8
011EBB	011EBA
011EBD	011EBC
011EBF	011EBE
011EC1	011EC0
011EC3	011EC2
011EC5	011EC4
011EC7	011EC6
011EC9	011EC8
011ECB	011ECA
011ECD	011ECC
011ECF	011ECE
011ED1	011ED0
011ED3	011ED2
011ED5	011ED4
011ED7	011ED6
011ED9	011ED8
011EDB	011EDA
011EDD	011EDC
011EDF	011EDE
011EE1	011EE0
011EE3	011EE2
011EE5	011EE4
011EE7	011EE6
011EE9	011EE8
011EEB	011EEA
011EED	011EEC
011EEF	011EEE
011EF1	011EF0
011EF3	011EF2
011EF5	011EF4
011EF7	011EF6
011EF9	011EF8
011EFB	011EFA
011EFD	011EFC
011EFF	011EFE
011F00	011F08
011F01	011F09
011F02	011F0A
011F03	011F0B
011F04	011F0C
011F05	011F0D
011F06	011F0E
011F07	011F0F
011F10	011F18
011F11	011F19
011F12	011F1A
011F13	011F1B
011F14	011F1C
011F15	011F1D
011F20	011F28
011F21	011F29
011F22	011F2A
011F23	011F2B
011F24	011F2C
011F25	011F2D
011F26	011F2E
011F27	011F2F
011F30	011F38
011F31	011F39
011F32	011F3A
011F33	011F3B
011F34	011F3C
011F35	011F3D
011F36	011F3E
011F37	011F3F
011F40	011F48
011F41	011F49
011F42	011F4A
011F43	011F4B
011F44	011F4C
011F45	011F4D
011F51	011F59
011F53	011F5B
011F55	011F5D
011F57	011F5F
011F60	011F68
011F61	011F69
011F62	011F6A
011F63	011F6B
011F64	011F6C
011F65	011F6D
011F66	011F6E
011F67	011F6F
011F70	011FBA
011F71	011FBB
011F72	011FC8
011F73	011FC9
011F74	011FCA
011F75	011FCB
011F76	011FDA
011F77	011FDB
011F78	011FF8
011F79	011FF9
011F7A	011FEA
011F7B	011FEB
011F7C	011FFA
011F7D	011FFB
011F80	011F88
011F81	011F89
011F82	011F8A
011F83	011F8B
011F84	011F8C
011F85	011F8D
011F86	011F8E
011F87	011F8F
011F90	011F98
011F91	011F99
011F92	011F9A
011F93	011F9B
011F94	011F9C
011F95	011F9D
011F96	011F9E
011F97	011F9F
011FA0	011FA8
011FA1	011FA9
011FA2	011FAA
011FA3	011FAB
011FA4	011FAC
011FA5	011FAD
011FA6	011FAE
011FA7	011FAF
011FB0	011FB8
011FB1	011FB9
011FB3	011FBC
011FBE	010399
011FC3	011FCC
011FD0	011FD8
011FD1	011FD9
011FE0	011FE8
011FE1	011FE9
011FE5	011FEC
011FF3	011FFC
01214E	012132
012170	012160
012171	012161
012172	012162
012173	012163
012174	012164
012175	012165
012176	012166
012177	012167
012178	012168
012179	012169
01217A	01216A
01217B	01216B
01217C	01216C
01217D	01216D
01217E	01216E
01217F	01216F
012184	012183
0124D0	0124B6
0124D1	0124B7
0124D2	0124B8
0124D3	0124B9
0124D4	0124BA
0124D5	0124BB
0124D6	0124BC
0124D7	0124BD
0124D8	0124BE
0124D9	0124BF
0124DA	0124C0
0124DB	0124C1
0124DC	0124C2
0124DD	0124C3
0124DE	0124C4
0124DF	0124C5
0124E0	0124C6
0124E1	0124C7
0124E2	0124C8
0124E3	0124C9
0124E4	0124CA
0124E5	0124CB
0124E6	0124CC
0124E7	0124CD
0124E8	0124CE
0124E9	0124CF
012C30	012C00
012C31	012C01
012C32	012C02
012C33	012C03
012C34	012C04
012C35	012C05
012C36	012C06
012C37	012C07
012C38	012C08
012C39	012C09
012C3A	012C0A
012C3B	012C0B
012C3C	012C0C
012C3D	012C0D
012C3E	012C0E
012C3F	012C0F
012C40	012C10
012C41	012C11
012C42	012C12
012C43	012C13
012C44	012C14
012C45	012C15
012C46	012C16
012C47	012C17
012C48	012C18
012C49	012C19
012C4A	012C1A
012C4B	012C1B
012C4C	012C1C
012C4D	012C1D
012C4E	012C1E
012C4F	012C1F
012C50	012C20
012C51	012C21
012C52	012C22
012C53	012C23
012C54	012C24
012C55	012C25
012C56	012C26
012C57	012C27
012C58	012C28
012C59	012C29
012C5A	012C2A
012C5B	012C2B
012C5C	012C2C
012C5D	012C2D
012C5E	012C2E
012C61	012C60
012C65	01023A
012C66	01023E
012C68	012C67
012C6A	012C69
012C6C	012C6B
012C73	012C72
012C76	012C75
012C81	012C80
012C83	012C82
012C85	012C84
012C87	012C86
012C89	012C88
012C8B	012C8A
012C8D	012C8C
012C8F	012C8E
012C91	012C90
012C93	012C92
012C95	012C94
012C97	012C96
012C99	012C98
012C9B	012C9A
012C9D	012C9C
012C9F	012C9E
012CA1	012CA0
012CA3	012CA2
012CA5	012CA4
012CA7	012CA6
012CA9	012CA8
012CAB	012CAA
012CAD	012CAC
012CAF	012CAE
012CB1	012CB0
012CB3	012CB2
012CB5	012CB4
012CB7	012CB6
012CB9	012CB8
012CBB	012CBA
012CBD	012CBC
012CBF	012CBE
012CC1	012CC0
012CC3	012CC2
012CC5	012CC4
012CC7	012CC6
012CC9	012CC8
012CCB	012CCA
012CCD	012CCC
012CCF	012CCE
012CD1	012CD0
012CD3	012CD2
012CD5	012CD4
012CD7	012CD6
012CD9	012CD8
012CDB	012CDA
012CDD	012CDC
012CDF	012CDE
012CE1	012CE0
012CE3	012CE2
012CEC	012CEB
012CEE	012CED
012CF3	012CF2
012D00	0110A0
012D01	0110A1
012D02	0110A2
012D03	0110A3
012D04	0110A4
012D05	0110A5
012D06	0110A6
012D07	0110A7
012D08	0110A8
012D09	0110A9
012D0A	0110AA
012D0B	0110AB
012D0C	0110AC
012D0D	0110AD
012D0E	0110AE
012D0F	0110AF
012D10	0110B0
012D11	0110B1
012D12	0110B2
012D13	0110B3
012D14	0110B4
012D15	0110B5
012D16	0110B6
012D17	0110B7
012D18	0110B8
012D19	0110B9
012D1A	0110BA
012D1B	0110BB
012D1C	0110BC
012D1D	0110BD
012D1E	0110BE
012D1F	0110BF
012D20	0110C0
012D21	0110C1
012D22	0110C2
012D23	0110C3
012D24	0110C4
012D25	0110C5
012D27	0110C7
012D2D	0110CD
01A641	01A640
01A643	01A642
01A645	01A644
01A647	01A646
01A649	01A648
01A64B	01A64A
01A64D	01A64C
01A64F	01A64E
01A651	01A650
01A653	01A652
01A655	01A654
01A657	01A656
01A659	01A658
01A65B	01A65A
01A65D	01A65C
01A65F	01A65E
01A661	01A660
01A663	01A662
01A665	01A664
01A667	01A666
01A669	01A668
01A66B	01A66A
01A66D	01A66C
01A681	01A680
01A683	01A682
01A685	01A684
01A687	01A686
01A689	01A688
01A68B	01A68A
01A68D	01A68C
01A68F	01A68E
01A691	01A690
01A693	01A692
01A695	01A694
01A697	01A696
01A723	01A722
01A725	01A724
01A727	01A726
01A729	01A728
01A72B	01A72A
01A72D	01A72C
01A72F	01A72E
01A733	01A732
01A735	01A734
01A737	01A736
01A739	01A738
01A73B	01A73A
01A73D	01A73C
01A73F	01A73E
01A741	01A740
01A743	01A742
01A745	01A744
01A747	01A746
01A749	01A748
01A74B	01A74A
01A74D	01A74C
01A74F	01A74E
01A751	01A750
01A753	01A752
01A755	01A754
01A757	01A756
01A759	01A758
01A75B	01A75A
