#transposed from inter/CHT.txt
017919	01788D
01765F	01762A
01863F	01841D
0156C9	015570
01908F	01903B
017380	017321
016B0F	016924
01947C	019523
017C6E	017BA9
0199AE	0151AF
0199AD	019A6D
0195D6	0195EF
0155CE	015417
017341	0172B8
0199B1	019A6E
0199B3	019A70
0199B4	019A6F
015ABD	015988
01746A	01739B
019A45	019A71
0199C1	019A73
0178BC	017801
0199DD	019A7C
0199D0	019A7B
0199D4	019A75
0199D5	019A7E
019A5B	019A7F
0199DF	019A77
0199DB	019A76
0199D2	019A79
019A36	019A7A
0199D8	019A80
0199D9	019A78
0199D1	019A7D
017F75	019A82
0199E1	019A82
01879E	018682
017BE4	017B03
0199ED	019A87
0199E2	019A88
019A4D	019A81
019A55	019A84
019A4A	019A85
0199F1	019A86
019A6A	019A8A
019A01	019A8B
019A57	019A8C
0199FF	019A8F
0199F8	019A8E
019A0E	019A91
019A0F	019A90
019A0D	019A92
019A05	019A93
019A42	019A96
019A19	019A97
019A2D	019A98
019A16	019A9B
019A37	019A9A
019A2B	019A9E
019A41	019A9C
019A40	0184E6
019A30	01817E
019A2E	019A9D
019A38	019A9F
019A43	019AA0
019A44	019AA2
019A3E	019AA1
017F88	017F81
01898A	017F81
019A5F	019AA4
019A65	019AA5
019A64	019AA7
018552	01836C
018B80	018BFB
017006	016E0E
017E8C	017EED
016ADD	01691F
0189BF	0189CC
018D16	018D4E
0172A2	01728A
017258	01724D
017AC7	017AA6
019EF7	019EE9
01561C	01551B
019EA9	019EB8
019582	0195E9
019583	0195EA
015011	014EEC
019589	0195ED
0195D6	0195EF
01554F	0195EE
01636B	01626A
0195C8	0195F1
019594	0195F5
0160B6	0195F7
01958F	0195F0
019591	0195F2
019593	0195F4
019599	0195F9
019598	0195F8
019346	019494
0195A1	019602
0195A8	0195FA
01805E	0195FB
0195E5	0195FC
0195A9	0195FD
0195AD	0195FE
0195D3	0195FF
01499B	0149B6
0195A3	019601
0195A5	019600
016F64	016DA6
016F97	016DA7
0161AB	0160AF
0195AC	019606
0195B1	019605
0195B2	019605
0195AB	019603
019B2E	019604
01499F	0149B7
015AFB	015A34
0195BC	01960F
0195BE	019608
0195B9	019609
0195B6	01960A
0195BD	01960D
0195BF	01960C
019B29	01960B
0195E1	019610
0195BB	01960E
0171DC	017116
0195CC	019611
018947	0188E5
0195CA	019614
017647	0175EB
019DF3	019E47
0195CB	019615
0195C3	019612
0164F1	016401
019427	01950F
019426	01950E
0195D5	019619
0195D4	019616
0195D0	019617
016ADA	016988
017C21	017B80
018B95	018C30
0195DE	01961A
0185FA	01853A
01703E	016F9C
016595	016593
01361A	01360E
01946D	019567
018EAA	018E8F
016FA0	016E11
017E69	017EF3
019EFF	019F0B
018805	018747
019F09	019F0D
01513A	0150A9
017058	016EE9
016524	01644A
0164F9	01644A
017671	01762B
019CE7	0151EB
019CEC	0151EB
019CE9	019E20
015CF6	015C9B
018526	018311
019CF6	019E22
019CF4	019E23
01689F	0167AD
019D06	019E29
019D09	019E26
019CFE	014D13
