#data source: http://www.cns11643.gov.tw
01540C	041D,0401,0458
01540A	0458,045B
015410	0458,0447
015401	0458,0444
01540B	0458,0452
015404	0463,0458
015411	0404,041D,0458
01540D	0467,0458
015408	0422,0401,0458
015403	0458,041F,0407
01540E	0421,0401,0458
015406	0458,047F
015412	0458,045E
0156E0	0459,044B
0156DE	0459,0458
0156DD	0459,047A
015733	0447,0480
015730	0447,0475
015728	0414,0401,0447
01572D	0447,0447
01572C	0447,0401,041A
01572F	0447,046F
015729	0447,0444
015919	0428,048F
01591A	0467,0467
015937	04010E
015938	044B,0401,041A
015984	042E,040D,0476
015978	0476,0443
015983	0476,046E
01597D	0476,047A
015979	0476,0475
015982	0476,0458
015981	0476,042B,0405
015B57	046B,047A
015B58	0414,0403,047A
015B87	046B,0444
015B88	046B,0452
015B85	046B,045E
015B89	046B,0476
015BFA	0448,0452
015C16	0479,044B
015C79	045A,041F,0407
015DDE	040127
015E06	045B,0427,0405
015E76	046C,044D
015E74	040119
015F0F	0453,0449
015F1B	046E,0475
015FD9	04B9,042E,040D
015FD6	04B9,0452
01620E	0493,0414
01620C	04D5,0401
01620D	04D5,0405
016210	04D5,0409
016263	04A0,0458
01625B	04A0,0449
016258	04A0,045E
016536	0437,04A1
0165E9	0498,0411
0165E8	0415,0498
0165EC	042B,0498
0165ED	043F,0498
0166F2	040111
0166F3	040113
016709	0414,04AB
01673D	0489,041A
016734	0489,041C
016731	0404,04CA
016735	0427,0489
016B21	0410,042A,0422
016B64	0497,0415
016B7B	048F,0415
016C16	04A3,043C
016C5D	04C7,0476
016C57	04C7,0443
016C59	04C7,0444
016C5F	04C7,0449
016C60	04C7,0475
016C50	04C7,0467
016C55	04C7,045A
016C61	04C7,0401,041A
016C5B	04C7,040B,0411
016C4D	04C7,0468
016C4E	04C7,0427,0405
017070	0414,04B4
01725F	043D,04A4
01725D	04A4,0415
01767E	0401,04F0
017AF9	04011C
017C73	040125
017CF8	04012C
017F36	040117
017F8A	040126
017FBD	04012B
018001	0485,0415
