#data source: http://www.cns11643.gov.tw
01310D,01311C	0167,0165
01310D,01311E	0167,0161,0169
01310D,01311F	0167,0165,0169
01310D,013120	0167,0161,016F
01310D,013121	0167,016F,0175
01310D,013122	0167,0161,016E
01310D,013123	0167,0165,016E
01310D,013124	0167,0161,016E,0167
01310D,013125	0167,0165,016E,0167
01310D,013128	0167,0175
01310D,013128,01311A	0167,0175,0161
01310D,013128,01311B	0167,0175,016F
01310D,013128,01311E	0167,0175,0161,0169
01310D,013128,01311F	0167,0175,0169
01310D,013128,013122	0167,0175,0161,016E
01310D,013128,013123	0167,0175,016E
01310D,013128,013124	0167,0175,0161,016E,0167
01310D,013128,013125	0167,016F,016E,0167
01310E,01311A	016B,0161
01310E,01311C	016B,0165
01310E,01311E	016B,0161,0169
01310E,013120	016B,0161,016F
01310E,013121	016B,016F,0175
01310E,013122	016B,0161,016E
01310E,013123	016B,0165,016E
01310E,013124	016B,0161,016E,0167
01310E,013125	016B,0165,016E,0167
01310E,013128	016B,0175
01310E,013128,01311A	016B,0175,0161
01310E,013128,01311B	016B,0175,016F
01310E,013128,01311E	016B,0175,0161,0169
01310E,013128,01311F	016B,0175,0169
01310E,013128,013122	016B,0175,0161,016E
01310E,013128,013123	016B,0175,016E
01310E,013128,013124	016B,0175,0161,016E,0167
01310E,013128,013125	016B,016F,016E,0167
01310F,01311A	0168,0161
01310F,01311C	0168,0165
01310F,01311E	0168,0161,0169
01310F,01311F	0168,0165,0169
01310F,013120	0168,0161,016F
01310F,013121	0168,016F,0175
01310F,013122	0168,0161,016E
01310F,013123	0168,0165,016E
01310F,013124	0168,0161,016E,0167
01310F,013125	0168,0165,016E,0167
01310F,013128	0168,0175
01310F,013128,01311A	0168,0175,0161
01310F,013128,01311B	0168,0175,016F
01310F,013128,01311E	0168,0175,0161,0169
01310F,013128,01311F	0168,0175,0169
01310F,013128,013122	0168,0175,0161,016E
01310F,013128,013123	0168,0175,016E
01310F,013128,013124	0168,0175,0161,016E,0167
01310F,013128,013125	0168,016F,016E,0167
013110,013127	016A,0169
013110,013127,01311A	016A,0169,0161
013110,013127,01311D	016A,0169,0165
013110,013127,013120	016A,0169,0161,016F
013110,013127,013121	016A,0169,0175
013110,013127,013122	016A,0169,0161,016E
013110,013127,013123	016A,0169,016E
013110,013127,013124	016A,0169,0161,016E,0167
013110,013127,013125	016A,0169,016E,0167
013110,013129	016A,0175
013110,013129,01311D	016A,0175,0165
013110,013129,013122	016A,0175,0161,016E
013110,013129,013123	016A,0175,016E
013110,013129,013125	016A,0169,016F,016E,0167
013111,013127	0171,0169
013111,013127,01311A	0171,0169,0161
013111,013127,01311D	0171,0169,0165
013111,013127,013120	0171,0169,0161,016F
013111,013127,013121	0171,0169,0175
013111,013127,013122	0171,0169,0161,016E
013111,013127,013123	0171,0169,016E
013111,013127,013124	0171,0169,0161,016E,0167
013111,013127,013125	0171,0169,016E,0167
013111,013129	0171,0175
013111,013129,01311D	0171,0175,0165
013111,013129,013122	0171,0175,0161,016E
013111,013129,013123	0171,0175,016E
013111,013129,013125	0171,0169,016F,016E,0167
013112,013127	0178,0169
013112,013127,01311A	0178,0169,0161
013112,013127,01311D	0178,0169,0165
013112,013127,013120	0178,0169,0161,016F
013112,013127,013121	0178,0169,0175
013112,013127,013122	0178,0169,0161,016E
013112,013127,013123	0178,0169,016E
013112,013127,013124	0178,0169,0161,016E,0167
013112,013127,013125	0178,0169,016E,0167
013112,013129	0178,0175
013112,013129,01311D	0178,0175,0165
013112,013129,013122	0178,0175,0161,016E
013112,013129,013123	0178,0175,016E
013112,013129,013125	0178,0169,016F,016E,0167
013113	017A,0168,0169
013113,01311A	017A,0168,0161
013113,01311C	017A,0168,0165
013113,01311E	017A,0168,0161,0169
013113,01311F	017A,0168,0165,0169
013113,013120	017A,0168,0161,016F
013113,013121	017A,0168,016F,0175
013113,013122	017A,0168,0161,016E
013113,013123	017A,0168,0165,016E
013113,013124	017A,0168,0161,016E,0167
013113,013125	017A,0168,0165,016E,0167
013113,013128	017A,0168,0175
013113,013128,01311A	017A,0168,0175,0161
013113,013128,01311B	017A,0168,0175,016F
013113,013128,01311E	017A,0168,0175,0161,0169
013113,013128,01311F	017A,0168,0175,0169
013113,013128,013122	017A,0168,0175,0161,016E
013113,013128,013123	017A,0168,0175,016E
013113,013128,013124	017A,0168,0175,0161,016E,0167
013113,013128,013125	017A,0168,016F,016E,0167
013114	0163,0168,0169
013114,01311A	0163,0168,0161
013114,01311C	0163,0168,0165
013114,01311E	0163,0168,0161,0169
013114,013120	0163,0168,0161,016F
013114,013121	0163,0168,016F,0175
013114,013122	0163,0168,0161,016E
013114,013123	0163,0168,0165,016E
013114,013124	0163,0168,0161,016E,0167
013114,013125	0163,0168,0165,016E,0167
013114,013128	0163,0168,0175
013114,013128,01311A	0163,0168,0175,0161
013114,013128,01311B	0163,0168,0175,016F
013114,013128,01311E	0163,0168,0175,0161,0169
013114,013128,01311F	0163,0168,0175,0169
013114,013128,013122	0163,0168,0175,0161,016E
013114,013128,013123	0163,0168,0175,016E
013114,013128,013124	0163,0168,0175,0161,016E,0167
013114,013128,013125	0163,0168,016F,016E,0167
013115	0173,0168,0169
013115,01311A	0173,0168,0161
013115,01311C	0173,0168,0165
013115,01311E	0173,0168,0161,0169
013115,01311F	0173,0168,0165,0169
013115,013120	0173,0168,0161,016F
013115,013121	0173,0168,016F,0175
013115,013122	0173,0168,0161,016E
013115,013123	0173,0168,0165,016E
013115,013124	0173,0168,0161,016E,0167
013115,013125	0173,0168,0165,016E,0167
013115,013128	0173,0168,0175
013115,013128,01311A	0173,0168,0175,0161
013115,013128,01311B	0173,0168,0175,016F
013115,013128,01311E	0173,0168,0175,0161,0169
013115,013128,01311F	0173,0168,0175,0169
013115,013128,013122	0173,0168,0175,0161,016E
013115,013128,013123	0173,0168,0175,016E
013115,013128,013124	0173,0168,0175,0161,016E,0167
013116	0172,0169
013116,01311C	0172,0165
013116,013120	0172,0161,016F
013116,013121	0172,016F,0175
013116,013122	0172,0161,016E
013116,013123	0172,0165,016E
013116,013124	0172,0161,016E,0167
013116,013125	0172,0165,016E,0167
013116,013128	0172,0175
013116,013128,01311B	0172,0175,016F
013116,013128,01311F	0172,0175,0169
013116,013128,013122	0172,0175,0161,016E
013116,013128,013123	0172,0175,016E
013116,013128,013125	0172,016F,016E,0167
013117	017A,0169
013117,01311A	017A,0161
013117,01311C	017A,0165
013117,01311E	017A,0161,0169
013117,01311F	017A,0165,0169
013117,013120	017A,0161,016F
013117,013121	017A,016F,0175
013117,013122	017A,0161,016E
013117,013123	017A,0165,016E
013117,013124	017A,0161,016E,0167
013117,013125	017A,0165,016E,0167
013117,013128	017A,0175
013117,013128,01311B	017A,0175,016F
013117,013128,01311F	017A,0175,0169
013117,013128,013122	017A,0175,0161,016E
013117,013128,013123	017A,0175,016E
013117,013128,013125	017A,016F,016E,0167
013118	0163,0169
013118,01311A	0163,0161
013118,01311C	0163,0165
013118,01311E	0163,0161,0169
013118,013120	0163,0161,016F
013118,013121	0163,016F,0175
013118,013122	0163,0161,016E
013118,013123	0163,0165,016E
013118,013124	0163,0161,016E,0167
013118,013125	0163,0165,016E,0167
013118,013128	0163,0175
013118,013128,01311B	0163,0175,016F
013118,013128,01311F	0163,0175,0169
013118,013128,013122	0163,0175,0161,016E
013118,013128,013123	0163,0175,016E
013118,013128,013125	0163,016F,016E,0167
013119	0173,0169
013119,01311A	0173,0161
013119,01311C	0173,0165
013119,01311E	0173,0161,0169
013119,01311F	0173,0165,0169
013119,013120	0173,0161,016F
013119,013121	0173,016F,0175
013119,013122	0173,0161,016E
013119,013123	0173,0165,016E
013119,013124	0173,0161,016E,0167
013119,013125	0173,0165,016E,0167
013119,013128	0173,0175
013119,013128,01311B	0173,0175,016F
013119,013128,01311F	0173,0175,0169
013119,013128,013122	0173,0175,0161,016E
013119,013128,013123	0173,0175,016E
013119,013128,013125	0173,016F,016E,0167
01311A	0161
01311B	016F
01311C	0165
01311D	0165,0168
01311E	0161,0169
01311F	0165,0169
013120	0161,016F
013121	016F,0175
013122	0161,016E
013123	0165,016E
013124	0161,016E,0167
013125	0165,016E,0167
013126	0165,0172
013127	0179,0169
013127,01311A	0179,0161
013127,01311B	0179,016F
013127,01311D	0179,0165
013127,01311E	0179,0161,0169
013127,013120	0179,0161,016F
013127,013121	0179,016F,0175
013127,013122	0179,0161,016E
013127,013123	0179,0169,016E
013127,013124	0179,0161,016E,0167
013127,013125	0179,0169,016E,0167
013128	0177,0175
013128,01311A	0177,0161
013128,01311B	0177,016F
013128,01311E	0177,0161,0169
013128,01311F	0177,0165,0169
013128,013122	0177,0161,016E
013128,013123	0177,0165,016E
013128,013124	0177,0161,016E,0167
013128,013125	0177,0165,016E,0167
013129	0179,0175
013129,01311D	0179,0175,0165
013129,013122	0179,0175,0161,016E
013129,013123	0179,0175,016E
013129,013125	0179,016F,016E,0167
0102CA	0132
0102C7	0133
0102CB	0134
0102D9	0135
