# http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP1257.TXT
80	0120AC
82	01201A
84	01201E
85	012026
86	012020
87	012021
89	012030
8B	012039
8D	01A8
8E	0102C7
8F	01B8
91	012018
92	012019
93	01201C
94	01201D
95	012022
96	012013
97	012014
99	012122
9B	01203A
9D	01AF
9E	0102DB
A0	01A0
A2	01A2
A3	01A3
A4	01A4
A6	01A6
A7	01A7
A8	01D8
A9	01A9
AA	010156
AB	01AB
AC	01AC
AD	01AD
AE	01AE
AF	01C6
B0	01B0
B1	01B1
B2	01B2
B3	01B3
B4	01B4
B5	01B5
B6	01B6
B7	01B7
B8	01F8
B9	01B9
BA	010157
BB	01BB
BC	01BC
BD	01BD
BE	01BE
BF	01E6
C0	010104
C1	01012E
C2	010100
C3	010106
C4	01C4
C5	01C5
C6	010118
C7	010112
C8	01010C
C9	01C9
CA	010179
CB	010116
CC	010122
CD	010136
CE	01012A
CF	01013B
D0	010160
D1	010143
D2	010145
D3	01D3
D4	01014C
D5	01D5
D6	01D6
D7	01D7
D8	010172
D9	010141
DA	01015A
DB	01016A
DC	01DC
DD	01017B
DE	01017D
DF	01DF
E0	010105
E1	01012F
E2	010101
E3	010107
E4	01E4
E5	01E5
E6	010119
E7	010113
E8	01010D
E9	01E9
EA	01017A
EB	010117
EC	010123
ED	010137
EE	01012B
EF	01013C
F0	010161
F1	010144
F2	010146
F3	01F3
F4	01014D
F5	01F5
F6	01F6
F7	01F7
F8	010173
F9	010142
FA	01015B
FB	01016B
FC	01FC
FD	01017C
FE	01017E
FF	0102D9
