# Source: http://www.opensource.apple.com/source/ICU/ICU-491.11.1/icuSources/data/mappings/ibm-935_P110-1999.ucm?txt
48E6	01626E
48E7	0162CC
48E8	014F34
48E9	0174E3
48EA	01534A
48EB	01529E
48EC	017ECA
48ED	0190A6
48EE	015E2E
48EF	016886
48F0	01699C
48F1	018180
48F2	017ED1
48F3	0168D2
48F4	0178C5
48F5	01868C
48F6	019551
48F7	01508D
48F8	018C24
48F9	0182DE
48FA	0180DE
48FB	015305
48FC	018912
48FD	015265
4941	018584
4942	0196F9
4943	014FDD
4944	015821
4945	019971
4946	015B9D
4947	0162B1
4948	0162A5
4949	0166B4
494A	018C79
494B	019C8D
494C	017206
494D	01676F
494E	017891
494F	0160B2
4950	015351
4951	015317
4952	018F88
4953	0180CC
4954	018D1D
4955	0194A1
4956	01500D
4957	0172C8
4958	015907
4959	0160EB
495A	017119
495B	0188AB
495C	015954
495D	0182EF
495E	01672C
495F	017B28
4960	015D29
4961	017EF7
4962	01752D
4963	016CF5
4964	018E66
4965	018FF8
4966	01903C
4967	019F3B
4968	016BD4
4969	019119
496A	017B14
496B	015F7C
496C	0178A7
496D	0184D6
496E	01853D
496F	016BD5
4970	016BD9
4971	016BD6
4972	015E01
4973	015E87
4974	0175F9
4975	0195ED
4976	01655D
4977	015F0A
4978	015FC5
4979	018F9F
497A	0158C1
497B	0181C2
497C	01907F
497D	01965B
497E	0197AD
497F	018FB9
4981	017F16
4982	018D2C
4983	016241
4984	014FBF
4985	0153D8
4986	01535E
4987	018FA8
4988	018FA9
4989	018FAB
498A	01904D
498B	016807
498C	015F6A
498D	018198
498E	018868
498F	019CD6
4990	01618B
4991	01522B
4992	01762A
4993	015F6C
4994	01658C
4995	016FD2
4996	016EE8
4997	015BBE
4998	016448
4999	015175
499A	0151B0
499B	0167C4
499C	014E19
499D	0179C9
499E	01997C
499F	0170B3
49A0	0175C5
49A1	015E76
49A2	0173BB
49A3	0183E0
49A4	0164AD
49A5	0162E8
49A6	0194B5
49A7	016CE2
49A8	01535A
49A9	0152C3
49AA	01640F
49AB	0194C2
49AC	017B94
49AD	014F2F
49AE	015E1B
49AF	018236
49B0	018116
49B1	01818A
49B2	016E24
49B3	016CCA
49B4	019A73
49B5	016355
49B6	01535C
49B7	0154FA
49B8	018865
49B9	0157E0
49BA	014E0D
49BB	015E03
49BC	016B65
49BD	017C3F
49BE	0190E8
49BF	016016
49C0	0164E6
49C1	01731C
49C2	0188C1
49C3	016750
49C4	01624D
49C5	018D22
49C6	01776C
49C7	018E29
49C8	0191C7
49C9	015F69
49CA	0183DC
49CB	018521
49CC	019910
49CD	0153C2
49CE	018695
49CF	016B8B
49D0	0160ED
49D1	0160E8
49D2	01707F
49D3	0182CD
49D4	018231
49D5	014ED3
49D6	016CA7
49D7	0185CF
49D8	0164CD
49D9	017CD9
49DA	0169FD
49DB	0166F9
49DC	018349
49DD	015395
49DE	017B56
49DF	014FA7
49E0	01518C
49E1	016D4B
49E2	015C42
49E3	018E6D
49E4	0163D2
49E5	0153C9
49E6	01832C
49E7	018336
49E8	0167E5
49E9	0178B4
49EA	01643D
49EB	015BDF
49EC	015C94
49ED	015DEE
49EE	018BE7
49EF	0162C6
49F0	0167F4
49F1	018C7A
49F2	016400
49F3	0163BA
49F4	018749
49F5	01998B
49F6	018C17
49F7	017F20
49F8	0194F2
49F9	014EA7
49FA	019610
49FB	0198A4
49FC	01660C
49FD	017316
4A	?01A3
4A41	01573A
4A42	015C1D
4A43	015E38
4A44	01957F
4A45	01507F
4A46	0180A0
4A47	015382
4A48	01655E
4A49	017545
4A4A	015531
4A4B	015021
4A4C	018D85
4A4D	016284
4A4E	01949E
4A4F	01671D
4A50	015632
4A51	016F6E
4A52	015DE2
4A53	015435
4A54	017092
4A55	018F66
4A56	01626F
4A57	0164A4
4A58	0163A3
4A59	015F7B
4A5A	016F88
4A5B	0190F4
4A5C	0181E3
4A5D	018FB0
4A5E	015C18
4A5F	016668
4A60	015FF1
4A61	016C89
4A62	019648
4A63	018D81
4A64	01886C
4A65	016491
4A66	0179F0
4A67	0157CE
4A68	016A59
4A69	016210
4A6A	015448
4A6B	014E58
4A6C	017A0B
4A6D	0160E9
4A6E	016F84
4A6F	018BDA
4A70	01627F
4A71	01901E
4A72	019A8B
4A73	0179E4
4A74	015403
4A75	0175F4
4A76	016301
4A77	015319
4A78	016C60
4A79	018FDF
4A7A	015F1B
4A7B	019A70
4A7C	01803B
4A7D	019F7F
4A7E	014F88
4A7F	015C3A
4A81	018D64
4A82	017FC5
4A83	0165A5
4A84	0170BD
4A85	015145
4A86	0151B2
4A87	01866B
4A88	015D07
4A89	015BA0
4A8A	0162BD
4A8B	01916C
4A8C	017574
4A8D	018E0C
4A8E	017A20
4A8F	016101
4A90	017B79
4A91	014EC7
4A92	017EF8
4A93	017785
4A94	014E11
4A95	0181ED
4A96	01521D
4A97	0151FA
4A98	016A71
4A99	0153A8
4A9A	018E87
4A9B	019504
4A9C	0196CF
4A9D	016EC1
4A9E	019664
4A9F	01695A
4AA0	017840
4AA1	0150A8
4AA2	0177D7
4AA3	016410
4AA4	0189E6
4AA5	015904
4AA6	0163E3
4AA7	015DDD
4AA8	017A7F
4AA9	01693D
4AAA	014F20
4AAB	018239
4AAC	015598
4AAD	014E32
4AAE	0175AE
4AAF	017A97
4AB0	015E62
4AB1	015E8A
4AB2	0195EF
4AB3	01521B
4AB4	015439
4AB5	01708A
4AB6	016376
4AB7	019524
4AB8	015782
4AB9	016625
4ABA	01693F
4ABB	019187
4ABC	015507
4ABD	016DF3
4ABE	017EAF
4ABF	018822
4AC0	016233
4AC1	017EF0
4AC2	0175B5
4AC3	018328
4AC4	0178C1
4AC5	0196CC
4AC6	018F9E
4AC7	016148
4AC8	0174F7
4AC9	018BCD
4ACA	016B64
4ACB	01523A
4ACC	018D50
4ACD	016B21
4ACE	01806A
4ACF	018471
4AD0	0156F1
4AD1	015306
4AD2	014ECE
4AD3	014E1B
4AD4	0151D1
4AD5	017C97
4AD6	01918B
4AD7	017C07
4AD8	014FC3
4AD9	018E7F
4ADA	017BE1
4ADB	017A9C
4ADC	016467
4ADD	015D14
4ADE	0150AC
4ADF	018106
4AE0	017601
4AE1	017CB9
4AE2	016DEC
4AE3	017FE0
4AE4	016751
4AE5	015B58
4AE6	015BF8
4AE7	0178CB
4AE8	0164AE
4AE9	016413
4AEA	0163AA
4AEB	01632B
4AEC	019519
4AED	01642D
4AEE	018FBE
4AEF	017B54
4AF0	017629
4AF1	016253
4AF2	015927
4AF3	015446
4AF4	016B79
4AF5	0150A3
4AF6	016234
4AF7	015E26
4AF8	016B86
4AF9	014EE3
4AFA	018D37
4AFB	01888B
4AFC	015F85
4AFD	01902E
4B	?012E
4B41	016020
4B42	01803D
4B43	0162C5
4B44	014E39
4B45	015355
4B46	0190F8
4B47	0163B8
4B48	0180C6
4B49	0165E6
4B4A	016C2E
4B4B	014F46
4B4C	0160EE
4B4D	016DE1
4B4E	018BDE
4B4F	015F39
4B50	0186CB
4B51	015F53
4B52	016321
4B53	01515A
4B54	018361
4B55	016863
4B56	015200
4B57	016363
4B58	018E48
4B59	015012
4B5A	015C9B
4B5B	017977
4B5C	015BFC
4B5D	015230
4B5E	017A3B
4B5F	0160BC
4B60	019053
4B61	0176D7
4B62	015FB7
4B63	015F97
4B64	017684
4B65	018E6C
4B66	01706F
4B67	01767B
4B68	017B49
4B69	0177AA
4B6A	0151F3
4B6B	019093
4B6C	015824
4B6D	014F4E
4B6E	016EF4
4B6F	018FEA
4B70	01654C
4B71	017B1B
4B72	0172C4
4B73	016DA4
4B74	017FDF
4B75	015AE1
4B76	0162B5
4B77	015E95
4B78	015730
4B79	018482
4B7A	017B2C
4B7B	015E1D
4B7C	015F1F
4B7D	019012
4B7E	017F14
4B7F	0198A0
4B81	016382
4B82	016EC7
4B83	017898
4B84	0170B9
4B85	015178
4B86	01975B
4B87	0157AB
4B88	017535
4B89	014F43
4B8A	017538
4B8B	015E97
4B8C	0160E6
4B8D	015960
4B8E	016DC0
4B8F	016BBF
4B90	017889
4B91	0153FC
4B92	0196D5
4B93	0151CB
4B94	015201
4B95	016389
4B96	01540A
4B97	019493
4B98	018C03
4B99	018DCC
4B9A	017239
4B9B	01789F
4B9C	018776
4B9D	018FED
4B9E	018C0D
4B9F	0153E0
4BA0	014E01
4BA1	0176EF
4BA2	0153EE
4BA3	019489
4BA4	019876
4BA5	019F0E
4BA6	01952D
4BA7	015B9A
4BA8	018BA2
4BA9	014E22
4BAA	014E1C
4BAB	0151AC
4BAC	018463
4BAD	0161C2
4BAE	0152A8
4BAF	01680B
4BB0	014F97
4BB1	01606B
4BB2	0151BB
4BB3	016D1E
4BB4	01515C
4BB5	016296
4BB6	016597
4BB7	019661
4BB8	018C46
4BB9	019017
4BBA	0175D8
4BBB	0190FD
4BBC	017763
4BBD	016BD2
4BBE	01728A
4BBF	0172EC
4BC0	018BFB
4BC1	015835
4BC2	017779
4BC3	018D4C
4BC4	01675C
4BC5	019540
4BC6	01809A
4BC7	015EA6
4BC8	016E21
4BC9	015992
4BCA	017AEF
4BCB	0177ED
4BCC	01953B
4BCD	016BB5
4BCE	0165AD
4BCF	017F0E
4BD0	015806
4BD1	015151
4BD2	01961F
4BD3	015BF9
4BD4	0158A9
4BD5	015428
4BD6	018E72
