01020003	C7D2
0102A424	F6CF
0102A45B	FC71
0102A471	848D
0102A4A0	F7F6
0102A4DC	CD6F
0102A4F6	FC81
0102A505	D4B1
0102A5A6	CCE9
0102A5C7	C6EA
0102A5C9	F4D2
0102A60F	DB55
0102F80A	C9AE
0102F80E	C3E2
0102F80F	CDC3
0102F827	C7DA
0102F828	C9D7
0102F833	C7E4
0102F835	BBD2
0102F83B	DFBA
0102F849	D4FB
0102F850	C7D0
0102F873	BDAB
0102F877	CDC0
0102F87A	E1A9
0102F8A1	BBC5
0102F8B8	B0CE
0102F8DB	E8BD
0102F8DC	E8BC
0102F908	B8DB
0102F90C	B5E1
0102F934	DEA8
0102F93D	D3DB
0102F940	D6B1
0102F997	CB6E
0102F9AA	CA50
0102F9AE	CA6F
0102F9C3	D071
0102F9D5	EADA
0102F9D6	B8D3
0102F9DF	CAE4
0102F9E9	E46E
0102FA18	F6BC
013405	CEE5
013421	C5B3
013430	D0C5
013433	D8A3
013439	D8EE
013442	B7C2
013444	CEEA
013464	8B62
013474	C7D6
013477	CCAC
01347A	BFA1
01347D	82DA
013497	8388
0134A4	C9E5
0134A8	CFC9
0134B2	B2C6
0134B3	C1BD
0134B6	B9AB
0134C2	BFDC
0134CA	B6B4
0134D5	C3F0
0134DB	B9A6
0134DC	D3D7
0134DD	D0CC
0134F6	EFC6
013503	BEF8
013509	84B1
013518	F7ED
01351C	B2AA
01352D	B3D7
01353A	CAC0
01353D	D8D5
013547	EDC7
013548	8EE5
013551	B3F8
013555	BBC3
013556	CBD8
01355A	D7A6
01355B	D3D1
01355C	CAB7
01355E	CBA2
013560	CBAB
013564	85B4
013565	D2D4
01357A	85EB
01357C	864D
013584	86B5
01359E	86B7
0135A0	C4C7
0135B6	D64E
0135BE	8640
0135C6	E0C3
0135CB	BAED
0135D0	E0BE
0135D6	E0A2
0135E4	E0D2
0135FD	CFEC
013611	87D1
013613	87DB
013615	8795
013625	87EA
01362B	BEB3
01362F	B3A1
013631	CCAE
013637	B0AC
01363B	888A
01363F	885B
013641	DBE9
01365A	889E
013662	DCAC
013672	DBD5
01367C	C0DD
013689	89E0
01368C	E2B7
01368F	89F9
013690	CCD7
0136A2	C5AB
0136A3	E6AF
0136A9	8A98
0136B3	8A8E
0136B6	E6A6
0136D4	8A7E
0136D5	8AB4
0136DB	C9EF
0136E4	8C43
0136E9	E6A8
0136EE	C9A9
0136F0	BBE9
0136FD	E6A9
01370F	8A75
013711	C6C5
01371C	8BAE
01373B	E6AE
01373D	D7D3
01373E	BAA2
013740	BAC3
013748	C2CF
013749	D0FB
01374A	CAD8
01374B	C1C8
01374C	BECE
01374D	D0B4
013756	D2CB
013759	D2FA
01375B	CBDE
013762	D3EE
013766	8C94
01376F	C7C8
013774	845C
013777	D1B0
013791	CEB2
013795	D0BC
0137A1	D5B9
0137A2	D6AE
0137AF	E1A8
0137B6	E1BA
0137B9	E1B3
0137C1	B0B6
0137D2	8D6E
0137E5	8DDF
0137E7	8DAC
0137E9	E1BA
0137ED	E1BA
0137FA	E1D0
013800	B5BA
013801	8DDF
013804	8DED
013810	E1BD
013817	8E53
01381C	E1DA
01381D	8E6D
01382D	D5B9
013836	B7AB
013838	D075
013860	D6A1
013873	B5D7
01387F	B3E2
013898	C1AE
0138AA	8F76
0138AE	B3DA
0138B4	CEF7
0138BD	B6FC
0138CB	B5A4
0138E6	E5D4
0138EB	B6AF
0138F2	CEA2
0138FC	C8CC
013900	CDFC
013901	E3C3
013902	BCB1
013903	B7C1
013905	B0AE
013907	B0C3
013913	B1BF
013919	B6F7
01391B	EDA5
01391F	BFD6
013929	E3A1
01392A	D4B9
01392C	EDA3
013930	E2F4
01393A	BBC5
013943	C3C6
01394B	82C3
01395E	E5E4
013964	F1E6
013966	E3AB
013967	CBB3
01396B	90AA
013971	E3AD
013975	90F9
01398D	E3B5
013994	E2FB
013996	EDAF
01399E	91C0
0139A0	EDA1
0139A4	DCB2
0139A7	9194
0139AF	BBF2
0139B8	EAAA
0139BE	91FE
0139BF	BBA7
0139CF	92E2
0139D6	B6F3
0139DF	93F9
0139E8	9240
0139F1	C4C3
0139FC	826C
0139FF	939C
013A08	BCB7
013A14	BAB3
013A15	946C
013A17	BDDD
013A23	D3B5
013A24	93F9
013A2F	C0A9
013A3F	93FE
013A40	93FE
013A41	C8B6
013A4E	944C
013A55	C1E0
013A57	D0AF
013A65	9473
013A66	D0AF
013A75	9441
013A7B	948A
013A85	B8FC
013A89	9497
013A9D	BCF0
013A9F	B6D8
013AA3	C7C3
013AC1	B6CF
013AC4	C5D4
013AC5	C6EC
013ACB	ECB9
013AD1	D6BC
013AD4	F4DE
013AE7	B1A9
013AEA	B4BA
013AF3	B3BF
013AFA	CEF4
013B0C	BEB0
013B0D	C6D8
013B19	95A5
013B1C	BDFA
013B20	C9B9
013B25	B1A9
013B27	B1A9
013B29	95C1
013B31	CCE6
013B4A	CEF6
013B4B	B0F4
013B4E	979E
013B71	CFBB
013B7B	CCC4
013B84	B0F1
013B86	99C7
013B8B	96EB
013B8C	C3DE
013B8E	B1AD
013BA3	B8C5
013BAE	BDDB
013BB3	96DA
013BB5	96EE
013BC7	9761
013BC8	98C9
013BCD	BDB0
013BD0	CDD6
013BD3	E9BD
013BDF	C2B4
013BE3	97B1
013BE6	C6E5
013BEA	E8F9
013C02	97AA
013C05	98B5
013C09	E9BB
013C0F	B8DD
013C10	CDD6
013C16	E9AD
013C19	9944
013C1E	E0CD
013C4F	D5FD
013C55	B9E9
013C58	F7CA
013C68	E9E7
013C7F	BFC7
013C87	DFCB
013C88	C9D8
013C9C	CCBA
013CAD	CCBA
013CB2	9ADB
013CB6	C2C8
013CB7	B5AA
013CBE	D3EA
013CC2	D1D8
013CC3	B4E3
013CC5	C1F7
013CC8	C5E6
013CD1	D2E7
013CD2	B7A8
013CD9	E4B8
013CE0	9DDF
013CED	CFD1
013D05	CFFB
013D06	BDFE
013D09	BCC3
013D15	9D90
013D1E	CCCF
013D34	D5BF
013D3E	B2B3
013D4E	BDA7
013D55	D4E8
013D71	C6AF
013D78	E5AE
013DA4	B3B4
013DA8	9ECC
013DAA	9ECC
013DAB	C1C7
013DBB	B7E9
013DC7	BBD6
013DCA	B7D9
013DD3	9FD0
013DD4	D1E6
013DD6	D5D5
013DD9	BCE5
013DF1	D0DC
013DFB	CEDE
013E00	ECC6
013E01	9FDF
013E02	ECDD
013E09	DBC6
013E15	BEF0
013E18	CDF2
013E27	F6B8
013E3E	A0AE
013E60	EBE0
013E64	C7D3
013E83	B9B7
013E85	BAEF
013E9A	CCA1
013EAB	AB55
013EAE	AB5D
013EB2	C5A5
013EB3	C3B5
013ECE	C9AA
013ED7	AC69
013EEE	E8B2
013F04	E7E1
013F4D	DBE1
013F52	C9FB
013F56	C1F4
013F57	C4B6
013F5C	EEB5
013F5E	C1F4
013F6C	B7F8
013F6F	C6E8
013F78	AF84
013F84	D798
013F8A	F1A4
013F8C	D1A2
013FC2	B059
013FCB	F0FE
013FE2	D2AB
013FF7	B2DA
014006	BEA1
01400B	D1CE
01400E	EDED
014039	BDDE
014056	B26B
01405E	CAA1
014066	EAEF
014079	EEA2
014093	B9E6
014096	CAAF
01409D	B34B
0140A1	EDC6
0140A5	B443
0140B2	EDC0
0140BB	EFAD
0140CD	D7B9
0140D8	B399
0140E0	EDDB
0140E9	EDD0
0140FA	C4A5
014100	BBF6
01410C	E15E
014112	EFFE
014115	C9E7
014122	C6EB
01412C	D2C6
01412D	C4EA
01413A	B694
01413D	F4CC
014147	CBDA
014149	B696
01415F	B75F
014160	B694
014192	BEBF
014197	F1BA
0141A0	BBC2
0141A9	DAA4
0141BB	C7CF
0141F2	B96B
014230	C9D2
01427C	C1CF
01428B	BC50
0142B6	C083
0142B7	E7BB
0142C1	E7AE
0142C4	CDF8
0142DC	F4EC
0142DE	CDF8
0142E0	B2B9
0142E7	BD50
0142EF	F4EC
0142F2	C9FE
0142F3	F1D8
0142F9	B7F9
014304	E7AE
014307	CBF7
014309	B8D9
01430A	F4ED
014313	B7B1
014315	F7E3
01431B	F4ED
01432B	C0C2
014337	BC97
014339	BD4E
01433D	BE5A
01435E	C14E
014369	D1F8
01436D	A099
014379	C183
0143A3	F1EA
0143B9	CEC5
0143BE	B19A
0143CA	C1FB
0143CB	CBE0
0143D2	C5D6
0143D4	D6E2
0143D5	E2BF
0143DD	C478
0143EF	F0EB
0143FB	C4DC
01440C	CCF3
014417	B6C7
014421	C6EA
014452	B5BD
014453	C55F
014455	CAF3
01445B	F3C2
01445E	CBB4
014482	BDB0
014483	D4EC
014497	C65A
0144A3	DCDB
0144A9	C84D
0144AC	C4AA
0144AD	B5C8
0144B1	D5F4
0144B6	CCEC
0144C1	B5C8
0144C5	C7DB
0144CA	C695
0144D6	CB95
0144D7	CA5B
0144E6	B5E4
0144F6	CC44
0144F7	DCF4
0144F9	F086
0144FA	DEC2
0144FF	DDD5
014509	CBE2
01450B	C9AF
01450D	F3C6
014512	DDED
014525	CFF4
014535	C882
014543	D2F1
01454F	DDAD
014551	C89A
014556	DDA5
01455A	DDDE
014560	CA86
014564	DEAD
014568	CCD9
01456F	CB69
014580	CC87
014582	CC89
01458B	C5B0
01458D	F2AF
01458F	B4A6
0145A0	F3A2
0145A3	D4E9
0145A4	F2EA
0145AB	B0F6
0145AE	CF86
0145B8	B6EA
0145B9	F2D5
0145BD	F2DB
0145BF	F2DB
0145CB	F2D6
0145CF	F2F4
0145EA	CF56
0145EB	F3A1
0145F6	C0AF
0145FE	F2B9
014601	D056
014603	CF5F
014607	CEC3
01460A	F3BA
014610	F4AC
014614	BFA6
014619	CEC0
01461A	D7E4
01461C	BDED
014629	D09E
01462B	D14D
01462E	C9A5
014631	D4A3
01463F	D09C
014640	B1C1
014653	D26F
014656	B1C1
014657	D17B
01465D	D9F4
01466A	F1E1
01466D	E5BD
014670	D19F
014673	9FCF
01467A	D29C
014695	B297
01469E	B4F5
01469F	B4F5
0146B0	D746
0146B1	D0C5
0146B2	DAA8
0146B9	D746
0146C2	D542
0146D0	B4CA
0146D1	DAD7
0146D2	B1E7
0146D5	DAC4
0146D6	D46D
0146DB	D490
0146DC	D1B6
0146DF	866B
0146E1	BBB0
0146E6	CBCF
0146E7	C3D5
0146EE	8277
0146FA	BDEB
0146FC	D765
014701	D66C
014703	895B
014704	D673
014718	BEAF
01471B	B2F7
01471F	DADF
014723	D444
014729	D785
014735	F4F9
01473B	F4F9
01473F	CAFA
014742	CAFA
014747	D859
014748	D860
014757	F5F7
014758	D2E3
014760	AA78
014768	CFCD
01476F	D897
014774	FD56
01477E	B8B3
01477F	B9F3
01478B	87B8
0147AC	CDB8
0147BC	B4DC
0147C6	F5CF
0147CE	F4F5
0147D6	D6BA
0147DA	DB61
014801	F5D2
014802	B3FE
01480A	847C
01480E	F6BB
014825	F5BF
01482E	CCDA
014830	DB6D
014832	F1F6
014836	C9E4
014839	BAA1
014840	837B
014845	DD90
014847	DC8B
01484B	DC99
01484C	EC8D
014856	C7E1
014859	DD88
014879	E9F9
01487C	DD43
014884	96A0
014889	C5A9
01489C	B9E9
01489F	D3C9
0148A0	CBCD
0148A4	CAF6
0148A6	CBA7
0148AA	C7C1
0148AB	CBE6
0148AF	E5E0
0148B5	D4C7
0148B7	C4C7
0148BE	8AB7
0148CC	DBA1
0148DE	B6F5
0148E8	B4BC
0148F4	D0EF
01491C	B6DB
01491E	E271
01491F	E25C
014920	E27E
014928	E257
014931	CAC4
014939	EFCB
014945	C7D9
014946	C7D9
01494A	EFBA
014950	F6CA
014951	E573
014955	E776
014956	EEE4
01495A	B3F5
014962	E758
014976	EFD3
014977	D5A1
01497A	E258
01497D	E76B
014983	E840
014985	E797
014986	E891
014987	F7D9
014999	CBC2
01499C	E04E
01499E	C8F2
01499F	CEC8
0149A7	E3D2
0149A8	C0BB
0149B7	CEC8
0149CD	CFB6
0149D5	D3F2
0149D9	C1EA
0149DC	CCC1
0149E0	E081
0149E1	DCAD
0149E3	EA94
0149F8	F0B3
0149FB	B8EB
0149FC	F0C0
0149FF	C8B5
014A03	FA60
014A05	F0D3
014A06	FA87
014A07	CBAB
014A09	F0D0
014A0E	EB94
014A13	C0D7
014A14	B1A2
014A16	F6AB
014A19	F6AF
014A20	F6B0
014A26	EB84
014A29	C1E9
014A2A	F6B2
014A2B	EC40
014A2D	CFF6
014A2E	D1A9
014A36	EC42
014A37	F6B1
014A51	EC8D
014A66	EC9B
014A75	ED72
014A78	BF5E
014A84	BBCD
014AA0	ECB4
014AA2	ECB4
014ACD	EE5C
014AD9	F2AA
014ADD	F0A5
014AEB	F7C3
014AF1	F2AC
014AF7	F2A6
014B03	ECAA
014B17	EF72
014B19	EF5F
014B1A	EF63
014B24	F095
014B25	F086
014B2A	F141
014B2E	E2C2
014B3B	BDA4
014B4B	B1A5
014B4C	F062
014B5B	F085
014B66	F141
014B6B	BBFC
014B6C	BBFC
014B76	E6EB
014B7C	E6EB
014B7E	CDD4
014B81	E6E9
014B83	C7FD
014B86	F179
014B87	F28F
014B88	B3DB
014B90	F16F
014B9B	E6E2
014BB2	F262
014BBC	F295
014BBF	E5B9
014BC1	C2E2
014BCE	F35F
014BD0	BAA1
014BD7	F7C2
014BDD	CBE8
014BEF	F39A
014BF3	F3A0
014BFA	F396
014C05	F450
014C0B	F44E
014C11	F450
014C19	E272
014C1B	D8AA
014C1C	D8AA
014C1F	BBEA
014C23	F7CD
014C28	F7C8
014C3A	F48F
014C3F	F544
014C44	F48F
014C46	F76A
014C48	F56C
014C54	F58D
014C56	F686
014C58	F650
014C5F	CE41
014C70	F78B
014C7D	F6F0
014C84	F7AA
014C8D	F68C
014C9F	F567
014CA0	F66A
014CA1	F670
014CA2	F68C
014CA5	F0AF
014CA8	BAE8
014CAB	F0AF
014CB4	F0B2
014CB5	C8B8
014CB7	E8C9
014CCC	BEE9
014CD2	F0B0
014CD8	B6EC
014CDC	F949
014CE8	BBCB
014CF6	FAA0
014CFC	C5B8
014CFD	BAD7
014D09	FB71
014D0A	FB40
014D0B	FB71
014D0C	FB4C
014D0E	FB50
014D12	FB5F
014D13	F85B
014D14	F89F
014D15	F895
014D16	F982
014D17	FA47
014D18	FA66
014D21	C0F6
014D25	FB93
014D44	FC4B
014D5E	F7F4
014D7A	884E
014D87	F7F8
014D9A	C8A3
014DAE	FD8C
01F928	C0C8
01F92E	C0E4
01F9A8	C1EE
01F9AD	C1E1
01F9B1	C1E5
01F9B2	C1E3
01F9B4	C1EC
01FA12	C7E7
01FA1C	BEB8
