# Source: http://www.w3.org/html/ig/zh/wiki/Big5-hkscs-vs-uao-in-hk
017CFB,017D71	?06,017CFB,017D71
017D20,0182F7	?06,017D20,0182F7
019FAB,017D30,0180DE	?06,019FAB,017D30,0180DE
017D89,0182B1	?06,017D89,0182B1
017D93,016B77	?06,017D93,016B77
019FAB,017DDA	?06,019FAB,017DDA
017D93,016FDF	?06,017D93,016FDF
017D93,016FDF,015B78	?06,017D93,016FDF,015B78
017D71,014E00	?06,017D71,014E00
017FFB,019801	?06,017FFB,019801
018001,018005	?06,018001,018005
018072,0197FF	?06,018072,0197FF
0180A7,0180CE	?06,0180A7,0180CE
0180A7,0182BD	?06,0180A7,0182BD
0181BD,016562	?06,0181BD,016562
0181BD,016A5F	?06,0181BD,016A5F
018102,019176	?06,018102,019176
01812B,019264	?06,01812B,019264
018150,0181B6	?06,018150,0181B6
01817A,0182F7	?06,01817A,0182F7
0181B6,018178	?06,0181B6,018178
0181C1,017621	?06,0181C1,017621
0181C1,018095	?06,0181C1,018095
0181C1,019AA8	?06,0181C1,019AA8
0181EA,0152D5	?06,0181EA,0152D5
0182B1,016735	?06,0182B1,016735
0182F7,019178	?06,0182F7,019178
0185E5,01929A	?06,0185E5,01929A
018471,0171D2	?06,018471,0171D2
018480,018349	?06,018480,018349
0185CD,018179,019DF3	?06,0185CD,018179,019DF3
0185CD,017530,01532F	?06,0185CD,017530,01532F
01866F,019AEF	?06,01866F,019AEF
01885B,01751F	?06,01885B,01751F
018863,016898	?06,018863,016898
018B49,0152B5	?06,018B49,0152B5
018C6C,0181B6	?06,018C6C,0181B6
018D64,019C72	?06,018D64,019C72
018D6C,015C3E	?06,018D6C,015C3E
018F14,019176	?06,018F14,019176
018F15,0163F8	?06,018F15,0163F8
018F33,018F33	?06,018F33,018F33
018FB2,015834	?06,018FB2,015834
019031,01520B	?06,019031,01520B
01904A,0189BD	?06,01904A,0189BD
019170,0180FA	?06,019170,0180FA
019178,019176	?06,019178,019176
0191D1,01945B	?06,0191D1,01945B
0191E3,019264	?06,0191E3,019264
019264,015377	?06,019264,015377
019264,015B50	?06,019264,015B50
0192B9,0183CC	?06,0192B9,0183CC
019326,017D89	?06,019326,017D89
01932B,015803	?06,01932B,015803
01945B,015751	?06,01945B,015751
01945B,015834	?06,01945B,015834
01945B,015DE5	?06,01945B,015DE5
01945B,01696D	?06,01945B,01696D
01929A,015B50	?06,01929A,015B50
01929A,01671F	?06,01929A,01671F
019577,018005	?06,019577,018005
019593,019694	?06,019593,019694
019676,015586	?06,019676,015586
019676,017AB0	?06,019676,017AB0
019694,019593	?06,019694,019593
019130,018FD1	?06,019130,018FD1
018B8E,015B9A	?06,018B8E,015B9A
018B8E,016821	?06,018B8E,016821
018B8E,01554F	?06,018B8E,01554F
019752,015E74	?06,019752,015E74
019752,016625	?06,019752,016625
0197F3,0197FF	?06,0197F3,0197FF
0198C6,015347	?06,0198C6,015347
0198C6,018ECA	?06,0198C6,018ECA
0198C6,0198A8	?06,0198C6,0198A8
019952,015DF5	?06,019952,015DF5
019999,016E2F	?06,019999,016E2F
019B8B,015F62,0176EE	?06,019B8B,015F62,0176EE
019B8B,019B5A	?06,019B8B,019B5A
019C02,019B5A	?06,019C02,019B5A
019C1F,019B8D	?06,019C1F,019B8D
019C20,019B5A	?06,019C20,019B5A
019D28,018137	?06,019D28,018137
019D7E,019CE5	?06,019D7E,019CE5
0196DE,0181B6	?06,0196DE,0181B6
019DF3,019D06	?06,019DF3,019D06
