Source: ftp://ftp.unicode.org/Public/9.0.0/ucd/CaseFolding.txt
0104D2	0104D3
0104D4	0104D5
0104D6	0104D7
0104D8	0104D9
0104DA	0104DB
0104DC	0104DD
0104DE	0104DF
0104E0	0104E1
0104E2	0104E3
0104E4	0104E5
0104E6	0104E7
0104E8	0104E9
0104EA	0104EB
0104EC	0104ED
0104EE	0104EF
0104F0	0104F1
0104F2	0104F3
0104F4	0104F5
0104F6	0104F7
0104F8	0104F9
0104FA	0104FB
0104FC	0104FD
0104FE	0104FF
010500	010501
010502	010503
010504	010505
010506	010507
010508	010509
01050A	01050B
01050C	01050D
01050E	01050F
010510	010511
010512	010513
010514	010515
010516	010517
010518	010519
01051A	01051B
01051C	01051D
01051E	01051F
010520	010521
010522	010523
010524	010525
010526	010527
010528	010529
01052A	01052B
01052C	01052D
01052E	01052F
010531	010561
010532	010562
010533	010563
010534	010564
010535	010565
010536	010566
010537	010567
010538	010568
010539	010569
01053A	01056A
01053B	01056B
01053C	01056C
01053D	01056D
01053E	01056E
01053F	01056F
010540	010570
010541	010571
010542	010572
010543	010573
010544	010574
010545	010575
010546	010576
010547	010577
010548	010578
010549	010579
01054A	01057A
01054B	01057B
01054C	01057C
01054D	01057D
01054E	01057E
01054F	01057F
010550	010580
010551	010581
010552	010582
010553	010583
010554	010584
010555	010585
010556	010586
010587	010565,010582
0110A0	012D00
0110A1	012D01
0110A2	012D02
0110A3	012D03
0110A4	012D04
0110A5	012D05
0110A6	012D06
0110A7	012D07
0110A8	012D08
0110A9	012D09
0110AA	012D0A
0110AB	012D0B
0110AC	012D0C
0110AD	012D0D
0110AE	012D0E
0110AF	012D0F
0110B0	012D10
0110B1	012D11
0110B2	012D12
0110B3	012D13
0110B4	012D14
0110B5	012D15
0110B6	012D16
0110B7	012D17
0110B8	012D18
0110B9	012D19
0110BA	012D1A
0110BB	012D1B
0110BC	012D1C
0110BD	012D1D
0110BE	012D1E
0110BF	012D1F
0110C0	012D20
0110C1	012D21
0110C2	012D22
0110C3	012D23
0110C4	012D24
0110C5	012D25
0110C7	012D27
0110CD	012D2D
0113F8	0113F0
0113F9	0113F1
0113FA	0113F2
0113FB	0113F3
0113FC	0113F4
0113FD	0113F5
011C80	010432
011C81	010434
011C82	01043E
011C83	010441
011C84	010442
011C85	010442
011C86	01044A
011C87	010463
011C88	01A64B
011E00	011E01
011E02	011E03
011E04	011E05
011E06	011E07
011E08	011E09
011E0A	011E0B
011E0C	011E0D
011E0E	011E0F
011E10	011E11
011E12	011E13
011E14	011E15
011E16	011E17
011E18	011E19
011E1A	011E1B
011E1C	011E1D
011E1E	011E1F
011E20	011E21
011E22	011E23
011E24	011E25
011E26	011E27
011E28	011E29
011E2A	011E2B
011E2C	011E2D
011E2E	011E2F
011E30	011E31
011E32	011E33
011E34	011E35
011E36	011E37
011E38	011E39
011E3A	011E3B
011E3C	011E3D
011E3E	011E3F
011E40	011E41
011E42	011E43
011E44	011E45
011E46	011E47
011E48	011E49
011E4A	011E4B
011E4C	011E4D
011E4E	011E4F
011E50	011E51
011E52	011E53
011E54	011E55
011E56	011E57
011E58	011E59
011E5A	011E5B
011E5C	011E5D
011E5E	011E5F
011E60	011E61
011E62	011E63
011E64	011E65
011E66	011E67
011E68	011E69
011E6A	011E6B
011E6C	011E6D
011E6E	011E6F
011E70	011E71
011E72	011E73
011E74	011E75
011E76	011E77
011E78	011E79
011E7A	011E7B
011E7C	011E7D
011E7E	011E7F
011E80	011E81
011E82	011E83
011E84	011E85
011E86	011E87
011E88	011E89
011E8A	011E8B
011E8C	011E8D
011E8E	011E8F
011E90	011E91
011E92	011E93
011E94	011E95
011E96	0168,010331
011E97	0174,010308
011E98	0177,01030A
011E99	0179,01030A
011E9A	0161,0102BE
011E9B	011E61
011E9E	0173,0173
011E9E	01DF
011EA0	011EA1
011EA2	011EA3
011EA4	011EA5
011EA6	011EA7
011EA8	011EA9
011EAA	011EAB
011EAC	011EAD
011EAE	011EAF
011EB0	011EB1
011EB2	011EB3
011EB4	011EB5
011EB6	011EB7
011EB8	011EB9
011EBA	011EBB
011EBC	011EBD
011EBE	011EBF
011EC0	011EC1
011EC2	011EC3
011EC4	011EC5
011EC6	011EC7
011EC8	011EC9
011ECA	011ECB
011ECC	011ECD
011ECE	011ECF
011ED0	011ED1
011ED2	011ED3
011ED4	011ED5
011ED6	011ED7
011ED8	011ED9
011EDA	011EDB
011EDC	011EDD
011EDE	011EDF
011EE0	011EE1
011EE2	011EE3
011EE4	011EE5
011EE6	011EE7
011EE8	011EE9
011EEA	011EEB
011EEC	011EED
011EEE	011EEF
011EF0	011EF1
011EF2	011EF3
011EF4	011EF5
011EF6	011EF7
011EF8	011EF9
011EFA	011EFB
011EFC	011EFD
011EFE	011EFF
011F08	011F00
011F09	011F01
011F0A	011F02
011F0B	011F03
011F0C	011F04
011F0D	011F05
011F0E	011F06
011F0F	011F07
011F18	011F10
011F19	011F11
011F1A	011F12
011F1B	011F13
011F1C	011F14
011F1D	011F15
011F28	011F20
011F29	011F21
011F2A	011F22
011F2B	011F23
011F2C	011F24
011F2D	011F25
011F2E	011F26
011F2F	011F27
011F38	011F30
011F39	011F31
011F3A	011F32
011F3B	011F33
011F3C	011F34
011F3D	011F35
011F3E	011F36
011F3F	011F37
011F48	011F40
011F49	011F41
011F4A	011F42
011F4B	011F43
011F4C	011F44
011F4D	011F45
011F50	0103C5,010313
011F52	0103C5,010313,010300
011F54	0103C5,010313,010301
011F56	0103C5,010313,010342
011F59	011F51
011F5B	011F53
011F5D	011F55
011F5F	011F57
011F68	011F60
011F69	011F61
011F6A	011F62
011F6B	011F63
011F6C	011F64
011F6D	011F65
011F6E	011F66
011F6F	011F67
011F80	011F00,0103B9
011F81	011F01,0103B9
011F82	011F02,0103B9
011F83	011F03,0103B9
011F84	011F04,0103B9
011F85	011F05,0103B9
011F86	011F06,0103B9
011F87	011F07,0103B9
011F88	011F00,0103B9
011F88	011F80
011F89	011F01,0103B9
011F89	011F81
011F8A	011F02,0103B9
011F8A	011F82
011F8B	011F03,0103B9
011F8B	011F83
011F8C	011F04,0103B9
011F8C	011F84
011F8D	011F05,0103B9
011F8D	011F85
011F8E	011F06,0103B9
011F8E	011F86
011F8F	011F07,0103B9
011F8F	011F87
011F90	011F20,0103B9
011F91	011F21,0103B9
011F92	011F22,0103B9
011F93	011F23,0103B9
011F94	011F24,0103B9
011F95	011F25,0103B9
011F96	011F26,0103B9
011F97	011F27,0103B9
011F98	011F20,0103B9
011F98	011F90
011F99	011F21,0103B9
011F99	011F91
011F9A	011F22,0103B9
011F9A	011F92
011F9B	011F23,0103B9
011F9B	011F93
011F9C	011F24,0103B9
011F9C	011F94
011F9D	011F25,0103B9
011F9D	011F95
011F9E	011F26,0103B9
011F9E	011F96
011F9F	011F27,0103B9
011F9F	011F97
011FA0	011F60,0103B9
011FA1	011F61,0103B9
011FA2	011F62,0103B9
011FA3	011F63,0103B9
011FA4	011F64,0103B9
011FA5	011F65,0103B9
011FA6	011F66,0103B9
011FA7	011F67,0103B9
011FA8	011F60,0103B9
011FA8	011FA0
011FA9	011F61,0103B9
011FA9	011FA1
011FAA	011F62,0103B9
011FAA	011FA2
011FAB	011F63,0103B9
011FAB	011FA3
011FAC	011F64,0103B9
011FAC	011FA4
011FAD	011F65,0103B9
011FAD	011FA5
011FAE	011F66,0103B9
011FAE	011FA6
011FAF	011F67,0103B9
011FAF	011FA7
011FB2	011F70,0103B9
011FB3	0103B1,0103B9
011FB4	0103AC,0103B9
011FB6	0103B1,010342
011FB7	0103B1,010342,0103B9
011FB8	011FB0
011FB9	011FB1
011FBA	011F70
011FBB	011F71
011FBC	0103B1,0103B9
011FBC	011FB3
011FBE	0103B9
011FC2	011F74,0103B9
011FC3	0103B7,0103B9
011FC4	0103AE,0103B9
011FC6	0103B7,010342
011FC7	0103B7,010342,0103B9
011FC8	011F72
011FC9	011F73
011FCA	011F74
011FCB	011F75
011FCC	0103B7,0103B9
011FCC	011FC3
011FD2	0103B9,010308,010300
011FD3	0103B9,010308,010301
011FD6	0103B9,010342
011FD7	0103B9,010308,010342
011FD8	011FD0
011FD9	011FD1
011FDA	011F76
011FDB	011F77
011FE2	0103C5,010308,010300
011FE3	0103C5,010308,010301
011FE4	0103C1,010313
011FE6	0103C5,010342
011FE7	0103C5,010308,010342
011FE8	011FE0
011FE9	011FE1
011FEA	011F7A
011FEB	011F7B
011FEC	011FE5
011FF2	011F7C,0103B9
011FF3	0103C9,0103B9
011FF4	0103CE,0103B9
011FF6	0103C9,010342
011FF7	0103C9,010342,0103B9
011FF8	011F78
011FF9	011F79
011FFA	011F7C
011FFB	011F7D
011FFC	0103C9,0103B9
011FFC	011FF3
012126	0103C9
01212A	016B
01212B	01E5
012132	01214E
012160	012170
012161	012171
012162	012172
012163	012173
012164	012174
012165	012175
012166	012176
012167	012177
012168	012178
012169	012179
01216A	01217A
01216B	01217B
01216C	01217C
01216D	01217D
01216E	01217E
01216F	01217F
012183	012184
0124B6	0124D0
0124B7	0124D1
0124B8	0124D2
0124B9	0124D3
0124BA	0124D4
0124BB	0124D5
0124BC	0124D6
0124BD	0124D7
0124BE	0124D8
0124BF	0124D9
0124C0	0124DA
0124C1	0124DB
0124C2	0124DC
0124C3	0124DD
0124C4	0124DE
0124C5	0124DF
0124C6	0124E0
0124C7	0124E1
0124C8	0124E2
0124C9	0124E3
0124CA	0124E4
0124CB	0124E5
0124CC	0124E6
0124CD	0124E7
0124CE	0124E8
0124CF	0124E9
012C00	012C30
012C01	012C31
012C02	012C32
012C03	012C33
012C04	012C34
012C05	012C35
012C06	012C36
012C07	012C37
012C08	012C38
012C09	012C39
012C0A	012C3A
012C0B	012C3B
012C0C	012C3C
012C0D	012C3D
012C0E	012C3E
012C0F	012C3F
012C10	012C40
012C11	012C41
012C12	012C42
012C13	012C43
012C14	012C44
012C15	012C45
012C16	012C46
012C17	012C47
012C18	012C48
012C19	012C49
012C1A	012C4A
012C1B	012C4B
012C1C	012C4C
012C1D	012C4D
012C1E	012C4E
012C1F	012C4F
012C20	012C50
012C21	012C51
012C22	012C52
012C23	012C53
012C24	012C54
012C25	012C55
012C26	012C56
012C27	012C57
012C28	012C58
012C29	012C59
012C2A	012C5A
012C2B	012C5B
012C2C	012C5C
012C2D	012C5D
012C2E	012C5E
012C60	012C61
012C62	01026B
012C63	011D7D
012C64	01027D
012C67	012C68
012C69	012C6A
012C6B	012C6C
012C6D	010251
012C6E	010271
012C6F	010250
012C70	010252
012C72	012C73
012C75	012C76
012C7E	01023F
012C7F	010240
012C80	012C81
012C82	012C83
012C84	012C85
012C86	012C87
012C88	012C89
