Source: ftp://ftp.unicode.org/Public/7.0.0/ucd/UnicodeData.txt
010437,010308	0104DF
010418,010304	0104E2
010438,010304	0104E3
010418,010308	0104E4
010438,010308	0104E5
01041E,010308	0104E6
01043E,010308	0104E7
0104E8,010308	0104EA
0104E9,010308	0104EB
01042D,010308	0104EC
01044D,010308	0104ED
010423,010304	0104EE
010443,010304	0104EF
010423,010308	0104F0
010443,010308	0104F1
010423,01030B	0104F2
010443,01030B	0104F3
010427,010308	0104F4
010447,010308	0104F5
01042B,010308	0104F8
01044B,010308	0104F9
010627,010653	010622
010627,010654	010623
010648,010654	010624
010627,010655	010625
01064A,010654	010626
0106D5,010654	0106C0
0106C1,010654	0106C2
0106D2,010654	0106D3
010928,01093C	010929
010930,01093C	010931
010933,01093C	010934
0109C7,0109BE	0109CB
0109C7,0109D7	0109CC
010B47,010B56	010B48
010B47,010B3E	010B4B
010B47,010B57	010B4C
010B92,010BD7	010B94
010BC6,010BBE	010BCA
010BC7,010BBE	010BCB
010BC6,010BD7	010BCC
010C46,010C56	010C48
010CBF,010CD5	010CC0
010CC6,010CD5	010CC7
010CC6,010CD6	010CC8
010CC6,010CC2	010CCA
010CCA,010CD5	010CCB
010D46,010D3E	010D4A
010D47,010D3E	010D4B
010D46,010D57	010D4C
010DD9,010DCA	010DDA
010DD9,010DCF	010DDC
010DDC,010DCA	010DDD
010DD9,010DDF	010DDE
011025,01102E	011026
011B05,011B35	011B06
011B07,011B35	011B08
011B09,011B35	011B0A
011B0B,011B35	011B0C
011B0D,011B35	011B0E
011B11,011B35	011B12
011B3A,011B35	011B3B
011B3C,011B35	011B3D
011B3E,011B35	011B40
011B3F,011B35	011B41
011B42,011B35	011B43
0141,010325	011E00
0161,010325	011E01
0142,010307	011E02
0162,010307	011E03
0142,010323	011E04
0162,010323	011E05
0142,010331	011E06
0162,010331	011E07
01C7,010301	011E08
01E7,010301	011E09
0144,010307	011E0A
0164,010307	011E0B
0144,010323	011E0C
0164,010323	011E0D
0144,010331	011E0E
0164,010331	011E0F
0144,010327	011E10
0164,010327	011E11
0144,01032D	011E12
0164,01032D	011E13
010112,010300	011E14
010113,010300	011E15
010112,010301	011E16
010113,010301	011E17
0145,01032D	011E18
0165,01032D	011E19
0145,010330	011E1A
0165,010330	011E1B
010228,010306	011E1C
010229,010306	011E1D
0146,010307	011E1E
0166,010307	011E1F
0147,010304	011E20
0167,010304	011E21
0148,010307	011E22
0168,010307	011E23
0148,010323	011E24
0168,010323	011E25
0148,010308	011E26
0168,010308	011E27
0148,010327	011E28
0168,010327	011E29
0148,01032E	011E2A
0168,01032E	011E2B
0149,010330	011E2C
0169,010330	011E2D
01CF,010301	011E2E
01EF,010301	011E2F
014B,010301	011E30
016B,010301	011E31
014B,010323	011E32
016B,010323	011E33
014B,010331	011E34
016B,010331	011E35
014C,010323	011E36
016C,010323	011E37
011E36,010304	011E38
011E37,010304	011E39
014C,010331	011E3A
016C,010331	011E3B
014C,01032D	011E3C
016C,01032D	011E3D
014D,010301	011E3E
016D,010301	011E3F
014D,010307	011E40
016D,010307	011E41
014D,010323	011E42
016D,010323	011E43
014E,010307	011E44
016E,010307	011E45
014E,010323	011E46
016E,010323	011E47
014E,010331	011E48
016E,010331	011E49
014E,01032D	011E4A
016E,01032D	011E4B
01D5,010301	011E4C
01F5,010301	011E4D
01D5,010308	011E4E
01F5,010308	011E4F
01014C,010300	011E50
01014D,010300	011E51
01014C,010301	011E52
01014D,010301	011E53
0150,010301	011E54
0170,010301	011E55
0150,010307	011E56
0170,010307	011E57
0152,010307	011E58
0172,010307	011E59
0152,010323	011E5A
0172,010323	011E5B
011E5A,010304	011E5C
011E5B,010304	011E5D
0152,010331	011E5E
0172,010331	011E5F
0153,010307	011E60
0173,010307	011E61
0153,010323	011E62
0173,010323	011E63
01015A,010307	011E64
01015B,010307	011E65
010160,010307	011E66
010161,010307	011E67
011E62,010307	011E68
011E63,010307	011E69
0154,010307	011E6A
0174,010307	011E6B
0154,010323	011E6C
0174,010323	011E6D
0154,010331	011E6E
0174,010331	011E6F
0154,01032D	011E70
0174,01032D	011E71
0155,010324	011E72
0175,010324	011E73
0155,010330	011E74
0175,010330	011E75
0155,01032D	011E76
0175,01032D	011E77
010168,010301	011E78
010169,010301	011E79
01016A,010308	011E7A
01016B,010308	011E7B
0156,010303	011E7C
0176,010303	011E7D
0156,010323	011E7E
0176,010323	011E7F
0157,010300	011E80
0177,010300	011E81
0157,010301	011E82
0177,010301	011E83
0157,010308	011E84
0177,010308	011E85
0157,010307	011E86
0177,010307	011E87
0157,010323	011E88
0177,010323	011E89
0158,010307	011E8A
0178,010307	011E8B
0158,010308	011E8C
0178,010308	011E8D
0159,010307	011E8E
0179,010307	011E8F
015A,010302	011E90
017A,010302	011E91
015A,010323	011E92
017A,010323	011E93
015A,010331	011E94
017A,010331	011E95
0168,010331	011E96
0174,010308	011E97
0177,01030A	011E98
0179,01030A	011E99
01017F,010307	011E9B
0141,010323	011EA0
0161,010323	011EA1
0141,010309	011EA2
0161,010309	011EA3
01C2,010301	011EA4
01E2,010301	011EA5
01C2,010300	011EA6
01E2,010300	011EA7
01C2,010309	011EA8
01E2,010309	011EA9
01C2,010303	011EAA
01E2,010303	011EAB
011EA0,010302	011EAC
011EA1,010302	011EAD
010102,010301	011EAE
010103,010301	011EAF
010102,010300	011EB0
010103,010300	011EB1
010102,010309	011EB2
010103,010309	011EB3
010102,010303	011EB4
010103,010303	011EB5
011EA0,010306	011EB6
011EA1,010306	011EB7
0145,010323	011EB8
0165,010323	011EB9
0145,010309	011EBA
0165,010309	011EBB
0145,010303	011EBC
0165,010303	011EBD
01CA,010301	011EBE
01EA,010301	011EBF
01CA,010300	011EC0
01EA,010300	011EC1
01CA,010309	011EC2
01EA,010309	011EC3
01CA,010303	011EC4
01EA,010303	011EC5
011EB8,010302	011EC6
011EB9,010302	011EC7
0149,010309	011EC8
0169,010309	011EC9
0149,010323	011ECA
0169,010323	011ECB
014F,010323	011ECC
016F,010323	011ECD
014F,010309	011ECE
016F,010309	011ECF
01D4,010301	011ED0
01F4,010301	011ED1
01D4,010300	011ED2
01F4,010300	011ED3
01D4,010309	011ED4
01F4,010309	011ED5
01D4,010303	011ED6
01F4,010303	011ED7
011ECC,010302	011ED8
011ECD,010302	011ED9
0101A0,010301	011EDA
0101A1,010301	011EDB
0101A0,010300	011EDC
0101A1,010300	011EDD
0101A0,010309	011EDE
0101A1,010309	011EDF
0101A0,010303	011EE0
0101A1,010303	011EE1
0101A0,010323	011EE2
0101A1,010323	011EE3
0155,010323	011EE4
0175,010323	011EE5
0155,010309	011EE6
0175,010309	011EE7
0101AF,010301	011EE8
0101B0,010301	011EE9
0101AF,010300	011EEA
0101B0,010300	011EEB
0101AF,010309	011EEC
0101B0,010309	011EED
0101AF,010303	011EEE
0101B0,010303	011EEF
0101AF,010323	011EF0
0101B0,010323	011EF1
0159,010300	011EF2
0179,010300	011EF3
0159,010323	011EF4
0179,010323	011EF5
0159,010309	011EF6
0179,010309	011EF7
0159,010303	011EF8
0179,010303	011EF9
0103B1,010313	011F00
0103B1,010314	011F01
011F00,010300	011F02
011F01,010300	011F03
011F00,010301	011F04
011F01,010301	011F05
011F00,010342	011F06
011F01,010342	011F07
010391,010313	011F08
010391,010314	011F09
011F08,010300	011F0A
011F09,010300	011F0B
011F08,010301	011F0C
011F09,010301	011F0D
011F08,010342	011F0E
011F09,010342	011F0F
0103B5,010313	011F10
0103B5,010314	011F11
011F10,010300	011F12
011F11,010300	011F13
011F10,010301	011F14
011F11,010301	011F15
010395,010313	011F18
010395,010314	011F19
011F18,010300	011F1A
011F19,010300	011F1B
011F18,010301	011F1C
011F19,010301	011F1D
0103B7,010313	011F20
0103B7,010314	011F21
011F20,010300	011F22
011F21,010300	011F23
011F20,010301	011F24
011F21,010301	011F25
011F20,010342	011F26
011F21,010342	011F27
010397,010313	011F28
010397,010314	011F29
011F28,010300	011F2A
011F29,010300	011F2B
011F28,010301	011F2C
011F29,010301	011F2D
011F28,010342	011F2E
011F29,010342	011F2F
0103B9,010313	011F30
0103B9,010314	011F31
011F30,010300	011F32
011F31,010300	011F33
011F30,010301	011F34
011F31,010301	011F35
011F30,010342	011F36
011F31,010342	011F37
010399,010313	011F38
010399,010314	011F39
011F38,010300	011F3A
011F39,010300	011F3B
011F38,010301	011F3C
011F39,010301	011F3D
011F38,010342	011F3E
011F39,010342	011F3F
0103BF,010313	011F40
0103BF,010314	011F41
011F40,010300	011F42
011F41,010300	011F43
011F40,010301	011F44
011F41,010301	011F45
01039F,010313	011F48
01039F,010314	011F49
011F48,010300	011F4A
011F49,010300	011F4B
011F48,010301	011F4C
011F49,010301	011F4D
0103C5,010313	011F50
0103C5,010314	011F51
011F50,010300	011F52
011F51,010300	011F53
011F50,010301	011F54
011F51,010301	011F55
011F50,010342	011F56
011F51,010342	011F57
0103A5,010314	011F59
011F59,010300	011F5B
011F59,010301	011F5D
011F59,010342	011F5F
0103C9,010313	011F60
0103C9,010314	011F61
011F60,010300	011F62
011F61,010300	011F63
011F60,010301	011F64
011F61,010301	011F65
011F60,010342	011F66
011F61,010342	011F67
0103A9,010313	011F68
0103A9,010314	011F69
011F68,010300	011F6A
011F69,010300	011F6B
011F68,010301	011F6C
011F69,010301	011F6D
011F68,010342	011F6E
011F69,010342	011F6F
0103B1,010300	011F70
0103B5,010300	011F72
0103B7,010300	011F74
0103B9,010300	011F76
0103BF,010300	011F78
0103C5,010300	011F7A
0103C9,010300	011F7C
011F00,010345	011F80
011F01,010345	011F81
011F02,010345	011F82
011F03,010345	011F83
011F04,010345	011F84
011F05,010345	011F85
011F06,010345	011F86
011F07,010345	011F87
011F08,010345	011F88
011F09,010345	011F89
011F0A,010345	011F8A
011F0B,010345	011F8B
011F0C,010345	011F8C
011F0D,010345	011F8D
011F0E,010345	011F8E
011F0F,010345	011F8F
011F20,010345	011F90
011F21,010345	011F91
011F22,010345	011F92
011F23,010345	011F93
011F24,010345	011F94
011F25,010345	011F95
011F26,010345	011F96
011F27,010345	011F97
011F28,010345	011F98
011F29,010345	011F99
011F2A,010345	011F9A
011F2B,010345	011F9B
011F2C,010345	011F9C
011F2D,010345	011F9D
011F2E,010345	011F9E
011F2F,010345	011F9F
011F60,010345	011FA0
011F61,010345	011FA1
011F62,010345	011FA2
011F63,010345	011FA3
011F64,010345	011FA4
011F65,010345	011FA5
011F66,010345	011FA6
011F67,010345	011FA7
011F68,010345	011FA8
011F69,010345	011FA9
011F6A,010345	011FAA
011F6B,010345	011FAB
011F6C,010345	011FAC
011F6D,010345	011FAD
011F6E,010345	011FAE
011F6F,010345	011FAF
0103B1,010306	011FB0
0103B1,010304	011FB1
011F70,010345	011FB2
0103B1,010345	011FB3
0103AC,010345	011FB4
0103B1,010342	011FB6
011FB6,010345	011FB7
010391,010306	011FB8
010391,010304	011FB9
010391,010300	011FBA
010391,010345	011FBC
01A8,010342	011FC1
011F74,010345	011FC2
0103B7,010345	011FC3
0103AE,010345	011FC4
0103B7,010342	011FC6
011FC6,010345	011FC7
010395,010300	011FC8
010397,010300	011FCA
010397,010345	011FCC
011FBF,010300	011FCD
011FBF,010301	011FCE
011FBF,010342	011FCF
0103B9,010306	011FD0
0103B9,010304	011FD1
0103CA,010300	011FD2
0103B9,010342	011FD6
0103CA,010342	011FD7
010399,010306	011FD8
010399,010304	011FD9
010399,010300	011FDA
011FFE,010300	011FDD
011FFE,010301	011FDE
011FFE,010342	011FDF
0103C5,010306	011FE0
0103C5,010304	011FE1
0103CB,010300	011FE2
0103C1,010313	011FE4
0103C1,010314	011FE5
0103C5,010342	011FE6
0103CB,010342	011FE7
0103A5,010306	011FE8
0103A5,010304	011FE9
0103A5,010300	011FEA
0103A1,010314	011FEC
01A8,010300	011FED
011F7C,010345	011FF2
0103C9,010345	011FF3
0103CE,010345	011FF4
0103C9,010342	011FF6
011FF6,010345	011FF7
01039F,010300	011FF8
