Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
0104D2	010410,010308
0104D3	010430,010308
0104D6	010415,010306
0104D7	010435,010306
0104DA	0104D8,010308
0104DB	0104D9,010308
0104DC	010416,010308
0104DD	010436,010308
0104DE	010417,010308
0104DF	010437,010308
0104E2	010418,010304
0104E3	010438,010304
0104E4	010418,010308
0104E5	010438,010308
0104E6	01041E,010308
0104E7	01043E,010308
0104EA	0104E8,010308
0104EB	0104E9,010308
0104EC	01042D,010308
0104ED	01044D,010308
0104EE	010423,010304
0104EF	010443,010304
0104F0	010423,010308
0104F1	010443,010308
0104F2	010423,01030B
0104F3	010443,01030B
0104F4	010427,010308
0104F5	010447,010308
0104F8	01042B,010308
0104F9	01044B,010308
010622	010627,010653
010623	010627,010654
010624	010648,010654
010625	010627,010655
010626	01064A,010654
0106C0	0106D5,010654
0106C2	0106C1,010654
0106D3	0106D2,010654
010929	010928,01093C
010931	010930,01093C
010934	010933,01093C
010958	010915,01093C
010959	010916,01093C
01095A	010917,01093C
01095B	01091C,01093C
01095C	010921,01093C
01095D	010922,01093C
01095E	01092B,01093C
01095F	01092F,01093C
0109CB	0109C7,0109BE
0109CC	0109C7,0109D7
0109DC	0109A1,0109BC
0109DD	0109A2,0109BC
0109DF	0109AF,0109BC
010A33	010A32,010A3C
010A36	010A38,010A3C
010A59	010A16,010A3C
010A5A	010A17,010A3C
010A5B	010A1C,010A3C
010A5E	010A2B,010A3C
010B48	010B47,010B56
010B4B	010B47,010B3E
010B4C	010B47,010B57
010B5C	010B21,010B3C
010B5D	010B22,010B3C
010B94	010B92,010BD7
010BCA	010BC6,010BBE
010BCB	010BC7,010BBE
010BCC	010BC6,010BD7
010C48	010C46,010C56
010CC0	010CBF,010CD5
010CC7	010CC6,010CD5
010CC8	010CC6,010CD6
010CCA	010CC6,010CC2
010CCB	010CC6,010CC2,010CD5
010D4A	010D46,010D3E
010D4B	010D47,010D3E
010D4C	010D46,010D57
010DDA	010DD9,010DCA
010DDC	010DD9,010DCF
010DDD	010DD9,010DCF,010DCA
010DDE	010DD9,010DDF
010F43	010F42,010FB7
010F4D	010F4C,010FB7
010F52	010F51,010FB7
010F57	010F56,010FB7
010F5C	010F5B,010FB7
010F69	010F40,010FB5
010F73	010F71,010F72
010F75	010F71,010F74
010F76	010FB2,010F80
010F78	010FB3,010F80
010F81	010F71,010F80
010F93	010F92,010FB7
010F9D	010F9C,010FB7
010FA2	010FA1,010FB7
010FA7	010FA6,010FB7
010FAC	010FAB,010FB7
010FB9	010F90,010FB5
011026	011025,01102E
011B06	011B05,011B35
011B08	011B07,011B35
011B0A	011B09,011B35
011B0C	011B0B,011B35
011B0E	011B0D,011B35
011B12	011B11,011B35
011B3B	011B3A,011B35
011B3D	011B3C,011B35
011B40	011B3E,011B35
011B41	011B3F,011B35
011B43	011B42,011B35
011E00	0141,010325
011E01	0161,010325
011E02	0142,010307
011E03	0162,010307
011E04	0142,010323
011E05	0162,010323
011E06	0142,010331
011E07	0162,010331
011E08	0143,010327,010301
011E09	0163,010327,010301
011E0A	0144,010307
011E0B	0164,010307
011E0C	0144,010323
011E0D	0164,010323
011E0E	0144,010331
011E0F	0164,010331
011E10	0144,010327
011E11	0164,010327
011E12	0144,01032D
011E13	0164,01032D
011E14	0145,010304,010300
011E15	0165,010304,010300
011E16	0145,010304,010301
011E17	0165,010304,010301
011E18	0145,01032D
011E19	0165,01032D
011E1A	0145,010330
011E1B	0165,010330
011E1C	0145,010327,010306
011E1D	0165,010327,010306
011E1E	0146,010307
011E1F	0166,010307
011E20	0147,010304
011E21	0167,010304
011E22	0148,010307
011E23	0168,010307
011E24	0148,010323
011E25	0168,010323
011E26	0148,010308
011E27	0168,010308
011E28	0148,010327
011E29	0168,010327
011E2A	0148,01032E
011E2B	0168,01032E
011E2C	0149,010330
011E2D	0169,010330
011E2E	0149,010308,010301
011E2F	0169,010308,010301
011E30	014B,010301
011E31	016B,010301
011E32	014B,010323
011E33	016B,010323
011E34	014B,010331
011E35	016B,010331
011E36	014C,010323
011E37	016C,010323
011E38	014C,010323,010304
011E39	016C,010323,010304
011E3A	014C,010331
011E3B	016C,010331
011E3C	014C,01032D
011E3D	016C,01032D
011E3E	014D,010301
011E3F	016D,010301
011E40	014D,010307
011E41	016D,010307
011E42	014D,010323
011E43	016D,010323
011E44	014E,010307
011E45	016E,010307
011E46	014E,010323
011E47	016E,010323
011E48	014E,010331
011E49	016E,010331
011E4A	014E,01032D
011E4B	016E,01032D
011E4C	014F,010303,010301
011E4D	016F,010303,010301
011E4E	014F,010303,010308
011E4F	016F,010303,010308
011E50	014F,010304,010300
011E51	016F,010304,010300
011E52	014F,010304,010301
011E53	016F,010304,010301
011E54	0150,010301
011E55	0170,010301
011E56	0150,010307
011E57	0170,010307
011E58	0152,010307
011E59	0172,010307
011E5A	0152,010323
011E5B	0172,010323
011E5C	0152,010323,010304
011E5D	0172,010323,010304
011E5E	0152,010331
011E5F	0172,010331
011E60	0153,010307
011E61	0173,010307
011E62	0153,010323
011E63	0173,010323
011E64	0153,010301,010307
011E65	0173,010301,010307
011E66	0153,01030C,010307
011E67	0173,01030C,010307
011E68	0153,010323,010307
011E69	0173,010323,010307
011E6A	0154,010307
011E6B	0174,010307
011E6C	0154,010323
011E6D	0174,010323
011E6E	0154,010331
011E6F	0174,010331
011E70	0154,01032D
011E71	0174,01032D
011E72	0155,010324
011E73	0175,010324
011E74	0155,010330
011E75	0175,010330
011E76	0155,01032D
011E77	0175,01032D
011E78	0155,010303,010301
011E79	0175,010303,010301
011E7A	0155,010304,010308
011E7B	0175,010304,010308
011E7C	0156,010303
011E7D	0176,010303
011E7E	0156,010323
011E7F	0176,010323
011E80	0157,010300
011E81	0177,010300
011E82	0157,010301
011E83	0177,010301
011E84	0157,010308
011E85	0177,010308
011E86	0157,010307
011E87	0177,010307
011E88	0157,010323
011E89	0177,010323
011E8A	0158,010307
011E8B	0178,010307
011E8C	0158,010308
011E8D	0178,010308
011E8E	0159,010307
011E8F	0179,010307
011E90	015A,010302
011E91	017A,010302
011E92	015A,010323
011E93	017A,010323
011E94	015A,010331
011E95	017A,010331
011E96	0168,010331
011E97	0174,010308
011E98	0177,01030A
011E99	0179,01030A
011E9B	01017F,010307
011EA0	0141,010323
011EA1	0161,010323
011EA2	0141,010309
011EA3	0161,010309
011EA4	0141,010302,010301
011EA5	0161,010302,010301
011EA6	0141,010302,010300
011EA7	0161,010302,010300
011EA8	0141,010302,010309
011EA9	0161,010302,010309
011EAA	0141,010302,010303
011EAB	0161,010302,010303
011EAC	0141,010323,010302
011EAD	0161,010323,010302
011EAE	0141,010306,010301
011EAF	0161,010306,010301
011EB0	0141,010306,010300
011EB1	0161,010306,010300
011EB2	0141,010306,010309
011EB3	0161,010306,010309
011EB4	0141,010306,010303
011EB5	0161,010306,010303
011EB6	0141,010323,010306
011EB7	0161,010323,010306
011EB8	0145,010323
011EB9	0165,010323
011EBA	0145,010309
011EBB	0165,010309
011EBC	0145,010303
011EBD	0165,010303
011EBE	0145,010302,010301
011EBF	0165,010302,010301
011EC0	0145,010302,010300
011EC1	0165,010302,010300
011EC2	0145,010302,010309
011EC3	0165,010302,010309
011EC4	0145,010302,010303
011EC5	0165,010302,010303
011EC6	0145,010323,010302
011EC7	0165,010323,010302
011EC8	0149,010309
011EC9	0169,010309
011ECA	0149,010323
011ECB	0169,010323
011ECC	014F,010323
011ECD	016F,010323
011ECE	014F,010309
011ECF	016F,010309
011ED0	014F,010302,010301
011ED1	016F,010302,010301
011ED2	014F,010302,010300
011ED3	016F,010302,010300
011ED4	014F,010302,010309
011ED5	016F,010302,010309
011ED6	014F,010302,010303
011ED7	016F,010302,010303
011ED8	014F,010323,010302
011ED9	016F,010323,010302
011EDA	014F,01031B,010301
011EDB	016F,01031B,010301
011EDC	014F,01031B,010300
011EDD	016F,01031B,010300
011EDE	014F,01031B,010309
011EDF	016F,01031B,010309
011EE0	014F,01031B,010303
011EE1	016F,01031B,010303
011EE2	014F,01031B,010323
011EE3	016F,01031B,010323
011EE4	0155,010323
011EE5	0175,010323
011EE6	0155,010309
011EE7	0175,010309
011EE8	0155,01031B,010301
011EE9	0175,01031B,010301
011EEA	0155,01031B,010300
011EEB	0175,01031B,010300
011EEC	0155,01031B,010309
011EED	0175,01031B,010309
